SEQ,common_name,scientific_name,merged_SEQ,ADU,avibase_id,avibase_id_source,avilist_common_name,avilist_scientific_name,avilist_sort,avilist_members,ebird_code,family,order,iucn,birdlife_url,n_avilist_species,endemic,afrotropical,palearctic,waterbird,mass,habitat,habitat_density,migration,trophic_level,trophic_niche,primary_lifestyle,range_size,flag,comment
487,Yellow-spotted Barbet,Buccanodon duchaillui,,1414,avibase-56790B57,ebird_single,Yellow-spotted Barbet,Buccanodon duchaillui,9883,Buccanodon duchaillui,yesbar1,African Barbets,Piciformes,NE,,1,false,false,false,false,41.8,Forest,1,1,Herbivore,Frugivore,Insessorial,3427229.94,,
488,Green Barbet,Stactolaema olivaceum,,435,avibase-4568986F,ebird_single,Green Barbet,Cryptolybia olivacea,9876,Cryptolybia olivacea,grebar2,African Barbets,Piciformes,LC,https://datazone.birdlife.org/species/factsheet/22681732,1,false,false,false,false,49.4,Forest,1,1,Omnivore,Frugivore,Insessorial,155265.95,,
489,Grey-throated Barbet,Gymnobucco bonapartei,,1416,avibase-95054CA5,ebird_single,Grey-throated Barbet,Gymnobucco bonapartei,9903,Gymnobucco bonapartei,gytbar1,African Barbets,Piciformes,NE,,1,false,false,false,false,63,Forest,1,2,Omnivore,Frugivore,Insessorial,1792433.71,,
490,Speckled Tinkerbird,Pogoniulus scolopaceus,,1446,avibase-EEA161A8,ebird_single,Speckled Tinkerbird,Pogoniulus scolopaceus,9913,Pogoniulus scolopaceus,spetin1,African Barbets,Piciformes,LC,https://datazone.birdlife.org/species/factsheet/22681736,1,false,false,false,false,14.1,Forest,1,1,Omnivore,Frugivore,Insessorial,3952077.92,,
491,Green Tinkerbird,Pogoniulus simplex,,905,avibase-5238FF10,ebird_single,Green Tinkerbird,Pogoniulus simplex,9917,Pogoniulus simplex,gretin2,African Barbets,Piciformes,LC,https://datazone.birdlife.org/species/factsheet/22681754,1,false,false,false,false,8.8,Forest,1,1,Herbivore,Frugivore,Insessorial,516296.28,This map might contains errors,
492,Moustached Green Tinkerbird,Pogoniulus leucomystax,,1442,avibase-7BEB0003,ebird_single,Moustached Tinkerbird,Pogoniulus leucomystax,9918,Pogoniulus leucomystax,moutin1,African Barbets,Piciformes,LC,https://datazone.birdlife.org/species/factsheet/22681747,1,false,false,false,false,11.8,Forest,1,1,Omnivore,Frugivore,Insessorial,552561.75,,
493,Red-fronted Tinkerbird,Pogoniulus pusillus,,436,avibase-E01F4BD7,ebird_single,Northern Red-fronted Tinkerbird,Pogoniulus uropygialis,9935,Pogoniulus uropygialis,reftin1,African Barbets,Piciformes,NE,,1,false,false,false,false,9.6,Shrubland,2,1,Omnivore,Frugivore,Insessorial,2446279.62,,
494,Yellow-fronted Tinkerbird,Pogoniulus chrysoconus,,437,avibase-2F467821,ebird_single,Yellow-fronted Tinkerbird,Pogoniulus chrysoconus,9939,Pogoniulus chrysoconus,yeftin1,African Barbets,Piciformes,LC,https://datazone.birdlife.org/species/factsheet/22681774,1,false,false,false,false,10.8,Woodland,2,1,Omnivore,Frugivore,Insessorial,10202745.34,This map might contains errors,
495,Yellow-rumped Tinkerbird,Pogoniulus bilineatus,,438,avibase-7749C92B,ebird_single,Yellow-rumped Tinkerbird,Pogoniulus bilineatus,9928,Pogoniulus bilineatus,yertin1,African Barbets,Piciformes,LC,https://datazone.birdlife.org/species/factsheet/22731992,1,false,false,false,false,13.1,Forest,1,1,Herbivore,Frugivore,Insessorial,7153853.6,,
496,Yellow-billed Barbet,Trachylaemus purpuratus,,1458,avibase-548EE951,ebird_single,Western Yellow-billed Barbet,Trachylaemus goffinii,9856,Trachylaemus goffinii,yebbar1,African Barbets,Piciformes,NE,,1,false,false,false,false,76.1,Forest,1,1,Carnivore,Invertivore,Insessorial,454445.83,,
497,d'Arnaud's Barbet,Trachyphonus darnaudii,,1452,avibase-1953C1D6,ebird_single,D'Arnaud's Barbet,Trachyphonus darnaudii,9870,Trachyphonus darnaudii,darbar1,African Barbets,Piciformes,NE,,1,false,false,false,false,35.8,Grassland,2,1,Herbivore,Omnivore,Insessorial,1278810.54,Records in the old atlas of d'Arnaud's and Usambiro Barbet are lumped,
498,Usambiro Barbet,Trachyphonus usambiro,497,#N/A,avibase-1953C1D6,ebird_single,D'Arnaud's Barbet,Trachyphonus darnaudii,9870,Trachyphonus darnaudii,darbar1,African Barbets,Piciformes,NE,,1,false,false,false,false,35.8,Grassland,2,1,Herbivore,Omnivore,Insessorial,1278810.54,,Folded into SEQ 497 d'Arnaud's Barbet. Taxonomic: AviList v2025b treats Trachyphonus usambiro as a subspecies of T. darnaudii (eBird issf darbar3). 9 squares (1970-1984).
499,Red-and-yellow Barbet,Trachyphonus erythrocephalus,,1454,avibase-570C1121,ebird_single,Red-and-yellow Barbet,Trachyphonus erythrocephalus,9863,Trachyphonus erythrocephalus,raybar1,African Barbets,Piciformes,LC,https://datazone.birdlife.org/species/factsheet/22681889,1,false,false,false,false,63.5,Shrubland,2,1,Omnivore,Omnivore,Terrestrial,1574108.27,,
500,Black-throated Honeguide,Indicator indicator,,440,avibase-862749B0,ebird_single,Greater Honeyguide,Indicator indicator,10204,Indicator indicator,grehon2,Honeyguides,Piciformes,LC,https://datazone.birdlife.org/species/factsheet/22680616,1,false,false,false,false,50.4,Shrubland,2,1,Carnivore,Invertivore,Insessorial,11206655.87,,
501,Lesser Honeyguide,Indicator minor,,0,avibase-50F3668C,ebird_single,Lesser Honeyguide,Indicator minor,10187,Indicator minor,y00400,Honeyguides,Piciformes,LC,https://datazone.birdlife.org/species/factsheet/22680623,1,false,false,false,false,28.2,Woodland,2,1,Carnivore,Invertivore,Insessorial,13121952.74,Records in the old atlas of Lesser and Thick-billed Honeyguide are lumped.,
502,Thick-billed Honeyguide,Indicator conirostris,501,1350,avibase-0AC6CF82,existing_ok,,,,,,,,,,,false,false,false,false,28.2,Woodland,2,1,Carnivore,Invertivore,Insessorial,13121952.74,,Folded into SEQ 501 Lesser Honeyguide. Taxonomic: AviList v2025b treats Indicator conirostris as conspecific with I. minor. 4 squares (1970-1984).
