SEQ,common_name,scientific_name,merged_SEQ,ADU,avibase_id,avibase_id_source,avilist_common_name,avilist_scientific_name,avilist_sort,avilist_members,ebird_code,family,order,iucn,birdlife_url,n_avilist_species,endemic,afrotropical,palearctic,waterbird,mass,habitat,habitat_density,migration,trophic_level,trophic_niche,primary_lifestyle,range_size,flag,comment
184,Crowned Crane,Balearica regulorum,,214,avibase-D10CAC5D,ebird_single,Grey Crowned Crane,Balearica regulorum,3258,Balearica regulorum,grccra1,Cranes,Gruiformes,EN,https://datazone.birdlife.org/species/factsheet/22692046,1,false,false,false,true,3772,Wetland,3,1,Omnivore,Omnivore,Terrestrial,3528882.19,,
185,White-spotted Pygmy Crake,Sarothrura pulchra,,1944,avibase-6EF64F69,ebird_single,White-spotted Flufftail,Sarothrura pulchra,3317,Sarothrura pulchra,whsflu1,Flufftails,Gruiformes,LC,https://datazone.birdlife.org/species/factsheet/22692215,1,false,false,false,false,45.2,Forest,1,1,Carnivore,Aquatic predator,Terrestrial,4635423.45,,
186,Buff-spotted Pygmy Crake,Sarothrura elegans,,206,avibase-E75BA92C,ebird_single,Buff-spotted Flufftail,Sarothrura elegans,3322,Sarothrura elegans,busflu1,Flufftails,Gruiformes,LC,https://datazone.birdlife.org/species/factsheet/22692219,1,false,false,false,true,46,Wetland,1,1,Carnivore,Invertivore,Terrestrial,7047799.89,,
187,Red-chested Pygmy Crake,Sarothrura rufa,,205,avibase-10B56544,ebird_single,Red-chested Flufftail,Sarothrura rufa,3325,Sarothrura rufa,recflu1,Flufftails,Gruiformes,LC,https://datazone.birdlife.org/species/factsheet/22692223,1,false,false,false,true,37.7,Wetland,1,1,Carnivore,Aquatic predator,Terrestrial,4402555,,
188,Streaky-breasted Pygmy Crake,Sarothrura boehmi,,892,avibase-EBA9F2C4,ebird_single,Streaky-breasted Flufftail,Sarothrura boehmi,3332,Sarothrura boehmi,stbflu1,Flufftails,Gruiformes,LC,https://datazone.birdlife.org/species/factsheet/22692232,1,false,true,false,false,35,Grassland,1,1,Omnivore,Omnivore,Terrestrial,995800.31,,
189,Chestnut-tailed Pygmy Crake,Sarothrura affinis,,207,avibase-D4A066EA,ebird_single,Striped Flufftail,Sarothrura affinis,3333,Sarothrura affinis,strflu1,Flufftails,Gruiformes,LC,https://datazone.birdlife.org/species/factsheet/22692236,1,false,false,false,true,27.8,Wetland,1,1,Omnivore,Omnivore,Terrestrial,524225.88,,
190,African Water Rail,Rallus caerulescens,,197,avibase-5B443EDE,ebird_single,African Rail,Rallus caerulescens,3436,Rallus caerulescens,afrrai1,"Rails, Gallinules, and Coots",Gruiformes,LC,https://datazone.birdlife.org/species/factsheet/22692498,1,false,false,false,true,162.1,Wetland,2,1,Carnivore,Aquatic predator,Terrestrial,5673805.66,,
191,African Crake,Crex egregia,,199,avibase-09A0F2EB,ebird_single,African Crake,Crecopsis egregia,3441,Crecopsis egregia,afrcra1,"Rails, Gallinules, and Coots",Gruiformes,LC,https://datazone.birdlife.org/species/factsheet/22692539,1,false,false,false,true,119,Wetland,2,3,Carnivore,Omnivore,Terrestrial,11681471.46,,
192,Corncrake,Crex crex,,198,avibase-7E257242,ebird_single,Corn Crake,Crex crex,3459,Crex crex,corcra,"Rails, Gallinules, and Coots",Gruiformes,LC,https://datazone.birdlife.org/species/factsheet/22692543,1,false,false,true,true,154.9,Grassland,2,3,Carnivore,Omnivore,Terrestrial,12516028.75,,
193,Black Crake,Limnocorax flavirostra,,203,avibase-148F0B01,ebird_single,Black Crake,Zapornia flavirostra,3707,Zapornia flavirostra,blacra1,"Rails, Gallinules, and Coots",Gruiformes,LC,https://datazone.birdlife.org/species/factsheet/22692643,1,false,false,false,true,86.2,Wetland,2,1,Carnivore,Aquatic predator,Terrestrial,16710583.49,,
194,Spotted Crake,Porzana porzana,,201,avibase-460708F9,ebird_single,Spotted Crake,Porzana porzana,3550,Porzana porzana,spocra1,"Rails, Gallinules, and Coots",Gruiformes,LC,https://datazone.birdlife.org/species/factsheet/22692676,1,false,false,true,true,87.1,Wetland,1,3,Omnivore,Aquatic predator,Terrestrial,10691863.17,,
195,Lesser Spotted Crake,Porzana pusilla,,202,avibase-34D5B04D,ebird_single,Baillon's Crake,Zapornia pusilla,3709,Zapornia pusilla,baicra1,"Rails, Gallinules, and Coots",Gruiformes,LC,https://datazone.birdlife.org/species/factsheet/22692667,1,false,false,false,true,35.4,Wetland,1,3,Carnivore,Aquatic predator,Terrestrial,19543407.73,,
196,Striped Crake,Aenigmatolimnas marginalis,,200,avibase-13967506,ebird_single,Striped Crake,Aenigmatolimnas marginalis,3667,Aenigmatolimnas marginalis,strcra1,"Rails, Gallinules, and Coots",Gruiformes,LC,https://datazone.birdlife.org/species/factsheet/22692729,1,false,true,false,true,51.2,Grassland,3,2,Carnivore,Aquatic predator,Terrestrial,3857317.95,,
197,Red-knobbed Coot,Fulica cristata,,212,avibase-53235FDC,ebird_single,Red-knobbed Coot,Fulica cristata,3587,Fulica cristata,rekcoo1,"Rails, Gallinules, and Coots",Gruiformes,LC,https://datazone.birdlife.org/species/factsheet/22692907,1,false,false,false,true,826,Wetland,3,1,Herbivore,Herbivore aquatic,Aquatic,5291448.7,,
198,Purple Gallinule,Porphyrio porphyrio,,208,avibase-865C039E,ebird_single,African Swamphen,Porphyrio madagascariensis,,Porphyrio madagascariensis,purswa2,"Rails, Gallinules, and Coots",Gruiformes,,,1,false,false,false,true,636,Wetland,2,1,Herbivore,Herbivore aquatic,Terrestrial,18686249.25,,
199,Allen's Gallinule,Porphyrio alleni,,209,avibase-53288666,ebird_single,Allen's Gallinule,Porphyrio alleni,3598,Porphyrio alleni,allgal1,"Rails, Gallinules, and Coots",Gruiformes,LC,https://datazone.birdlife.org/species/factsheet/22692816,1,false,false,false,true,138.7,Wetland,2,3,Herbivore,Herbivore aquatic,Terrestrial,16360428.26,,
200,Lesser Moorhen,Gallinula angulata,,211,avibase-A927C1AE,ebird_single,Lesser Moorhen,Paragallinula angulata,3553,Paragallinula angulata,lesmoo1,"Rails, Gallinules, and Coots",Gruiformes,LC,https://datazone.birdlife.org/species/factsheet/22692883,1,false,true,false,true,130,Wetland,2,1,Omnivore,Omnivore,Generalist,11737913.2,,
201,Common Moorhen,Gallinula chloropus,,210,avibase-8F82FF8C,ebird_single,Common Moorhen,Gallinula chloropus,3558,Gallinula chloropus,commoo3,"Rails, Gallinules, and Coots",Gruiformes,LC,https://datazone.birdlife.org/species/factsheet/62120190,1,false,false,false,true,339.6,Wetland,3,1,Omnivore,Omnivore,Terrestrial,38515141.7,,
202,African Finfoot,Podica senegalensis,,213,avibase-46DECAEE,ebird_single,African Finfoot,Podica senegalensis,3290,Podica senegalensis,afrfin1,Finfoots,Gruiformes,LC,https://datazone.birdlife.org/species/factsheet/22692177,1,false,false,false,true,599,Wetland,2,1,Carnivore,Aquatic predator,Aquatic,11384786.12,,
203,White-bellied Bustard,Eupodotis senegalensis,,222,avibase-3B287014,ebird_single,White-bellied Bustard,Eupodotis senegalensis,1793,Eupodotis senegalensis,whbbus2,Bustards,Otidiformes,LC,https://datazone.birdlife.org/species/factsheet/22691996,1,false,false,false,false,585,Grassland,3,1,Omnivore,Omnivore,Terrestrial,4886826.68,,
204,Hartlaub's Bustard,Eupodotis hartlaubi,,1906,avibase-402E7401,ebird_single,Hartlaub's Bustard,Lissotis hartlaubii,1818,Lissotis hartlaubii,harbus2,Bustards,Otidiformes,LC,https://datazone.birdlife.org/species/factsheet/22692011,1,false,false,false,false,1190,Grassland,3,1,Omnivore,Omnivore,Terrestrial,606100.64,This species is prone to misidentification and its maps might be affected by error.,
205,Black-bellied Bustard,Eupodotis melanogaster,,227,avibase-562F4456,ebird_single,Black-bellied Bustard,Lissotis melanogaster,1819,Lissotis melanogaster,bkbbus1,Bustards,Otidiformes,LC,https://datazone.birdlife.org/species/factsheet/22692007,1,false,false,false,false,1151.5,Grassland,3,1,Carnivore,Invertivore,Terrestrial,10594022.75,This species is prone to misidentification and its maps might be affected by error.,
206,Buff-crested Bustard,Eupodotis ruficrista,,1900,avibase-968D57F9,ebird_single,Buff-crested Bustard,Lophotis gindiana,1809,Lophotis gindiana,bucbus1,Bustards,Otidiformes,LC,https://datazone.birdlife.org/species/factsheet/22691960,1,false,false,false,false,782.3,Shrubland,3,1,Omnivore,Omnivore,Terrestrial,1777669.92,,
207,Denham's Bustard,Neotis denhami,,219,avibase-4FDBC0CB,ebird_single,Denham's Bustard,Neotis denhami,1785,Neotis denhami,stabus1,Bustards,Otidiformes,NT,https://datazone.birdlife.org/species/factsheet/22691905,1,false,false,false,false,3970.2,Grassland,3,1,Carnivore,Omnivore,Terrestrial,7660206.48,,
208,Heuglin's Bustard,Neotis heuglinii,,1910,avibase-4971D1EF,ebird_single,Heuglin's Bustard,Neotis heuglinii,1789,Neotis heuglinii,heubus1,Bustards,Otidiformes,LC,https://datazone.birdlife.org/species/factsheet/22691920,1,false,false,false,false,4098.8,Desert,3,1,Omnivore,Omnivore,Terrestrial,989206.1,,
209,Kori Bustard,Otis kori,,217,avibase-4FC41CA0,ebird_single,Kori Bustard,Ardeotis kori,1773,Ardeotis kori,korbus1,Bustards,Otidiformes,NT,https://datazone.birdlife.org/species/factsheet/22691928,1,false,false,false,false,7994.2,Grassland,3,1,Omnivore,Omnivore,Terrestrial,3565934.25,,
210,Arabian Bustard,Otis arabs,,1894,avibase-6A394479,ebird_single,Arabian Bustard,Ardeotis arabs,1768,Ardeotis arabs,arabus1,Bustards,Otidiformes,NT,https://datazone.birdlife.org/species/factsheet/22691924,1,false,false,false,false,5943.5,Grassland,3,1,Omnivore,Omnivore,Terrestrial,2950367.62,,
211,Jacana,Actophilornis africanus,,228,avibase-D16D486D,ebird_single,African Jacana,Actophilornis africanus,4000,Actophilornis africanus,afrjac1,Jacanas,Charadriiformes,LC,https://datazone.birdlife.org/species/factsheet/22693528,1,false,false,false,true,189.1,Wetland,3,2,Carnivore,Aquatic predator,Terrestrial,16988448.66,,
212,Lesser Jacana,Microparra capensis,,229,avibase-29B03FAE,ebird_single,Lesser Jacana,Microparra capensis,3994,Microparra capensis,lesjac1,Jacanas,Charadriiformes,LC,https://datazone.birdlife.org/species/factsheet/22693536,1,false,false,false,true,41.3,Wetland,3,2,Carnivore,Aquatic predator,Terrestrial,3244082.83,,
213,Painted Snipe,Rostratula benghalensis,,230,avibase-7516E687,ebird_single,Greater Painted-snipe,Rostratula benghalensis,3979,Rostratula benghalensis,grpsni1,Painted-Snipes,Charadriiformes,LC,https://datazone.birdlife.org/species/factsheet/22735810,1,false,false,false,true,121,Wetland,1,2,Omnivore,Aquatic predator,Terrestrial,24950994.82,,
214,Oystercatcher,Haematopus ostralegus,,894,avibase-ED663165,ebird_single,Eurasian Oystercatcher,Haematopus ostralegus,3801,Haematopus ostralegus,euroys1,Oystercatchers,Charadriiformes,NT,https://datazone.birdlife.org/species/factsheet/22693613,1,false,false,true,true,526,Coastal,3,1,Carnivore,Aquatic predator,Terrestrial,9505624.97,,
215,Long-toed Plover,Vanellus crassirostris,,248,avibase-F7D5320E,ebird_single,Long-toed Lapwing,Vanellus crassirostris,3859,Vanellus crassirostris,lotlap1,Plovers and Lapwings,Charadriiformes,LC,https://datazone.birdlife.org/species/factsheet/22693954,1,false,false,false,true,170,Wetland,3,1,Carnivore,Aquatic predator,Terrestrial,3461973.99,,
216,African Wattled Plover,Wattled Plover,,247,avibase-074251A3,ebird_single,African Wattled Lapwing,Vanellus senegallus,3877,Vanellus senegallus,watlap1,Plovers and Lapwings,Charadriiformes,LC,https://datazone.birdlife.org/species/factsheet/22694027,1,false,false,false,true,248,Wetland,3,1,Carnivore,Aquatic predator,Terrestrial,11259086.33,,
217,Blacksmith Plover,Vanellus armatus,,245,avibase-2F23EDC6,ebird_single,Blacksmith Lapwing,Vanellus armatus,3862,Vanellus armatus,blaplo1,Plovers and Lapwings,Charadriiformes,LC,https://datazone.birdlife.org/species/factsheet/22693978,1,false,false,false,true,156,Wetland,3,1,Carnivore,Aquatic predator,Terrestrial,5662037.2,,
218,Spur-winged Plover,Vanellus spinosus,,1031,avibase-F5E92B22,ebird_single,Spur-winged Lapwing,Vanellus spinosus,3863,Vanellus spinosus,spwlap1,Plovers and Lapwings,Charadriiformes,LC,https://datazone.birdlife.org/species/factsheet/22693983,1,false,false,false,true,188,Wetland,3,1,Carnivore,Omnivore,Terrestrial,8392007.79,,CJ: This has definitely spread
219,Black-headed Plover,Vanellus tectus,,2020,avibase-D531B5D3,ebird_single,Black-headed Lapwing,Vanellus tectus,3866,Vanellus tectus,blhlap1,Plovers and Lapwings,Charadriiformes,LC,https://datazone.birdlife.org/species/factsheet/22693995,1,false,false,false,true,100,Grassland,3,1,Carnivore,Invertivore,Terrestrial,5265920.67,,CJ: decline' poss due to a lack of birding in the squares where the decline is noted?
220,Crowned Plover,Vanellus coronatus,,242,avibase-D0FA8EBE,ebird_single,Crowned Lapwing,Vanellus coronatus,3874,Vanellus coronatus,crolap1,Plovers and Lapwings,Charadriiformes,LC,https://datazone.birdlife.org/species/factsheet/22694043,1,false,false,false,true,165,Grassland,3,1,Carnivore,Invertivore,Terrestrial,6790147.37,,
221,Brown-chested Wattled Plover,Vanellus superciliosus,,2018,avibase-881C954D,ebird_single,Brown-chested Lapwing,Vanellus superciliosus,3881,Vanellus superciliosus,brclap1,Plovers and Lapwings,Charadriiformes,LC,https://datazone.birdlife.org/species/factsheet/22694048,1,false,false,false,true,150,Grassland,3,1,Carnivore,Invertivore,Terrestrial,752501.59,,
222,Senegal Plover,Vanellus lugubris,,244,avibase-42D3918F,ebird_single,Senegal Lapwing,Vanellus lugubris,3870,Vanellus lugubris,senlap1,Plovers and Lapwings,Charadriiformes,LC,https://datazone.birdlife.org/species/factsheet/22694033,1,false,false,false,true,122,Grassland,3,1,Carnivore,Invertivore,Terrestrial,3495483.7,,
223,Black-winged Plover,Vanellus melanopterus,,243,avibase-83D95620,ebird_single,Black-winged Lapwing,Vanellus melanopterus,3871,Vanellus melanopterus,blwlap1,Plovers and Lapwings,Charadriiformes,LC,https://datazone.birdlife.org/species/factsheet/22694038,1,false,false,false,true,184.9,Grassland,3,1,Carnivore,Invertivore,Terrestrial,839078.51,,
224,Lesser Golden Plover,Pluvialis dominica,,1039,avibase-07C11CF3,ebird_single,Pacific Golden Plover,Pluvialis fulva,3818,Pluvialis fulva,pagplo,Plovers and Lapwings,Charadriiformes,LC,https://datazone.birdlife.org/species/factsheet/22693735,1,false,false,true,true,134.9,Grassland,3,3,Carnivore,Omnivore,Terrestrial,2241495.9,,
225,Grey Plover,Pluvialis squatarola,,241,avibase-27903EF7,ebird_single,Grey Plover,Pluvialis squatarola,3812,Pluvialis squatarola,bkbplo,Plovers and Lapwings,Charadriiformes,VU,https://datazone.birdlife.org/species/factsheet/22693749,1,false,false,true,true,250,Grassland,3,3,Carnivore,Aquatic predator,Terrestrial,3963258.28,,CJ: decline in central Kenya records may reflect an overall decline in populations farther south. Would be an interesting species to dig into a bit further… 
226,Little Ringed Plover,Charadrius dubius,,955,avibase-35EC3BBF,ebird_single,Little Ringed Plover,Thinornis dubius,3853,Thinornis dubius,lirplo,Plovers and Lapwings,Charadriiformes,LC,https://datazone.birdlife.org/species/factsheet/22693770,1,false,false,true,true,38.7,Wetland,3,3,Carnivore,Aquatic predator,Terrestrial,33641119.87,,CJ: YES! This is surely a definite decline for this species
227,Ringed Plover,Charadrius hiaticula,,233,avibase-EDA37B7C,ebird_single,Common Ringed Plover,Charadrius hiaticula,3836,Charadrius hiaticula,corplo,Plovers and Lapwings,Charadriiformes,LC,https://datazone.birdlife.org/species/factsheet/22693759,1,false,false,true,true,64,Coastal,3,2,Carnivore,Aquatic predator,Terrestrial,4520829.19,,
228,Kentish Plover,Charadrius alexandrinus,,2002,avibase-AA4385A2,ebird_single,Kentish Plover,Anarhynchus alexandrinus,3953,Anarhynchus alexandrinus,kenplo1,Plovers and Lapwings,Charadriiformes,LC,https://datazone.birdlife.org/species/factsheet/22727487,1,false,false,true,true,42.3,Coastal,3,2,Carnivore,Aquatic predator,Terrestrial,13539453.43,,
229,White-fronted Sandplover,Charadrius marginatus,,235,avibase-214B3533,ebird_single,White-fronted Plover,Anarhynchus marginatus,3946,Anarhynchus marginatus,whfplo1,Plovers and Lapwings,Charadriiformes,LC,https://datazone.birdlife.org/species/factsheet/22693828,1,false,false,false,true,48.3,Coastal,3,1,Carnivore,Aquatic predator,Terrestrial,4442943.8,,
230,Chestnut-banded Sandplover,Charadrius pallidus,,236,avibase-61F0E581,ebird_single,Chestnut-banded Plover,Anarhynchus pallidus,3942,Anarhynchus pallidus,chbplo1,Plovers and Lapwings,Charadriiformes,LC,https://datazone.birdlife.org/species/factsheet/22693814,1,false,false,false,true,34.8,Wetland,3,2,Carnivore,Aquatic predator,Terrestrial,480800.22,,CJ: this 'spread' is surely just vagrants - is there a way of putting a comment to this effect for this type of species? Would be worth double-checking the ID of these records as well…
231,Great Sandplover,Charadrius leschenaultii,,239,avibase-98B9C10B,ebird_single,Greater Sand Plover,Anarhynchus leschenaultii,3915,Anarhynchus leschenaultii,grsplo,Plovers and Lapwings,Charadriiformes,LC,https://datazone.birdlife.org/species/factsheet/22693862,1,false,false,true,true,74.8,Grassland,3,3,Carnivore,Aquatic predator,Terrestrial,5473335.58,,
232,Mongolian Sandplover,Charadrius mongolus,,234,avibase-828D3D5A,ebird_single,Tibetan Sand Plover,Anarhynchus atrifrons,3908,Anarhynchus atrifrons,lessap1,Plovers and Lapwings,Charadriiformes,LC,https://datazone.birdlife.org/species/factsheet/230026276,1,false,false,true,true,64,Wetland,3,3,Carnivore,Aquatic predator,Terrestrial,4714238.7,,
233,Caspian Plover,Charadrius asiaticus,,240,avibase-264D0351,ebird_single,Caspian Plover,Anarhynchus asiaticus,3906,Anarhynchus asiaticus,casplo1,Plovers and Lapwings,Charadriiformes,LC,https://datazone.birdlife.org/species/factsheet/22693868,1,false,false,true,true,77.1,Desert,3,3,Carnivore,Omnivore,Terrestrial,2844122.74,,"CJ: Probably a true indication of a decline - though the northern squares have probably not been covered v well, I'd suspect"
234,Kittlitz's Plover,Charadrius pecuarius,,237,avibase-0F0DCC2F,ebird_single,Kittlitz's Plover,Anarhynchus pecuarius,3936,Anarhynchus pecuarius,kitplo1,Plovers and Lapwings,Charadriiformes,LC,https://datazone.birdlife.org/species/factsheet/22693793,1,false,false,false,true,34,Wetland,3,1,Carnivore,Aquatic predator,Terrestrial,16351827.57,,
235,Three-banded Plover,Charadrius tricollaris,,238,avibase-8DAF86A1,ebird_single,Three-banded Plover,Thinornis tricollaris,3849,Thinornis tricollaris,thbplo1,Plovers and Lapwings,Charadriiformes,NE,,1,false,false,false,true,31.2,Wetland,3,1,Carnivore,Aquatic predator,Terrestrial,9221083.48,,
236,Red Knot,Calidris canutus,,254,avibase-B5CE8FAD,ebird_single,Red Knot,Calidris canutus,4144,Calidris canutus,redkno,Sandpipers and Allies,Charadriiformes,NT,https://datazone.birdlife.org/species/factsheet/22693363,1,false,false,false,true,141.9,Coastal,3,3,Carnivore,Aquatic predator,Terrestrial,1604194.57,,
237,Sanderling,Calidris alba,,255,avibase-06B9BD24,ebird_single,Sanderling,Calidris alba,4165,Calidris alba,sander,Sandpipers and Allies,Charadriiformes,LC,https://datazone.birdlife.org/species/factsheet/22693369,1,false,false,true,true,51.7,Coastal,3,3,Carnivore,Aquatic predator,Terrestrial,1344741.13,,
238,Red-necked Stint,Calidris ruficollis,,897,avibase-BBDF2F1B,ebird_single,Red-necked Stint,Calidris ruficollis,4161,Calidris ruficollis,rensti,Sandpipers and Allies,Charadriiformes,NT,https://datazone.birdlife.org/species/factsheet/22693383,1,false,false,false,true,26.8,Grassland,3,3,Carnivore,Aquatic predator,Terrestrial,971179.99,This species is prone to misidentification and its maps might be affected by error.,
239,Little Stint,Calidris minuta,,253,avibase-9936FF4A,ebird_single,Little Stint,Calidris minuta,4189,Calidris minuta,litsti,Sandpipers and Allies,Charadriiformes,LC,https://datazone.birdlife.org/species/factsheet/22693379,1,false,false,true,true,21.1,Grassland,3,3,Carnivore,Aquatic predator,Terrestrial,1734619.92,,
240,Temminck's Stint,Calidris temminckii,,985,avibase-5ACF7FB3,ebird_single,Temminck's Stint,Calidris temminckii,4162,Calidris temminckii,temsti,Sandpipers and Allies,Charadriiformes,LC,https://datazone.birdlife.org/species/factsheet/22693388,1,false,false,true,true,23,Grassland,3,3,Carnivore,Aquatic predator,Terrestrial,3436316.19,,
241,Long-toed Stint,Calidris subminuta,,972,avibase-7D629288,ebird_single,Long-toed Stint,Calidris subminuta,4163,Calidris subminuta,lotsti,Sandpipers and Allies,Charadriiformes,LC,https://datazone.birdlife.org/species/factsheet/22693392,1,false,false,false,true,30.2,Wetland,3,3,Carnivore,Aquatic predator,Terrestrial,316107.68,This species is prone to misidentification and its maps might be affected by error.,
242,Pectoral Sandpiper,Calidris melanotos,,895,avibase-ACC99F35,ebird_single,Pectoral Sandpiper,Calidris melanotos,4186,Calidris melanotos,pecsan,Sandpipers and Allies,Charadriiformes,LC,https://datazone.birdlife.org/species/factsheet/22693408,1,false,false,false,true,79.7,Wetland,3,3,Carnivore,Aquatic predator,Terrestrial,2362488.1,,
243,Curlew Sandpiper,Calidris ferruginea,,251,avibase-143A681C,ebird_single,Curlew Sandpiper,Calidris ferruginea,4158,Calidris ferruginea,cursan,Sandpipers and Allies,Charadriiformes,VU,https://datazone.birdlife.org/species/factsheet/22693431,1,false,false,true,true,58.1,Coastal,3,3,Carnivore,Aquatic predator,Terrestrial,1198699.06,,
244,Dunlin,Calidris alpina,,896,avibase-15369E8E,ebird_single,Dunlin,Calidris alpina,4168,Calidris alpina,dunlin,Sandpipers and Allies,Charadriiformes,NT,https://datazone.birdlife.org/species/factsheet/22693427,1,false,false,true,true,51.9,Wetland,3,3,Carnivore,Aquatic predator,Terrestrial,4754236.34,This species is prone to misidentification and its maps might be affected by error.,
245,Broad-billed Sandpiper,Limicola falcinellus,,981,avibase-0A14882F,ebird_single,Broad-billed Sandpiper,Calidris falcinellus,4155,Calidris falcinellus,brbsan,Sandpipers and Allies,Charadriiformes,VU,https://datazone.birdlife.org/species/factsheet/22693464,1,false,false,true,true,37.1,Wetland,3,3,Carnivore,Aquatic predator,Terrestrial,1005823.74,,
246,Buff-breasted Sandpiper,Tryngites subruficollis,,926,avibase-3A3C62BC,ebird_single,Buff-breasted Sandpiper,Calidris subruficollis,4164,Calidris subruficollis,bubsan,Sandpipers and Allies,Charadriiformes,VU,https://datazone.birdlife.org/species/factsheet/22693447,1,false,false,false,true,62.1,Grassland,3,3,Carnivore,Omnivore,Terrestrial,642423.52,,
247,Ruff,Philomachus pugnax,,256,avibase-2DABF98F,ebird_single,Ruff,Calidris pugnax,4153,Calidris pugnax,ruff,Sandpipers and Allies,Charadriiformes,LC,https://datazone.birdlife.org/species/factsheet/22693468,1,false,false,true,true,131.7,Wetland,3,3,Carnivore,Aquatic predator,Terrestrial,8562266.88,,
248,Jack Snipe,Lymnocryptes minimus,,1988,avibase-1A15F0C6,ebird_single,Jack Snipe,Lymnocryptes minimus,4049,Lymnocryptes minimus,jacsni,Sandpipers and Allies,Charadriiformes,LC,https://datazone.birdlife.org/species/factsheet/22693133,1,false,false,true,true,50.1,Wetland,3,3,Carnivore,Aquatic predator,Terrestrial,7671774.57,,"CJ: Sho!! What has happened to this species?! Probably overlooked, but all the same you'd expect at least SOME records if they were around…"
249,Common Snipe,Gallinago gallinago,,957,avibase-9151E0BA,ebird_single,Common Snipe,Gallinago gallinago,4091,Gallinago gallinago,comsni,Sandpipers and Allies,Charadriiformes,LC,https://datazone.birdlife.org/species/factsheet/22693097,1,false,false,true,true,112.9,Wetland,3,3,Carnivore,Aquatic predator,Terrestrial,20105909.91,This species is prone to misidentification and its maps might be affected by error.,
250,African Snipe,Gallinago nigripennis,,250,avibase-831FC147,ebird_single,African Snipe,Gallinago nigripennis,4086,Gallinago nigripennis,afrsni1,Sandpipers and Allies,Charadriiformes,LC,https://datazone.birdlife.org/species/factsheet/22693102,1,false,false,false,true,112,Wetland,3,2,Carnivore,Aquatic predator,Terrestrial,5609482.86,This species is prone to misidentification and its maps might be affected by error.,
251,Great Snipe,Gallinago media,,249,avibase-BCCD5840,ebird_single,Great Snipe,Gallinago media,4081,Gallinago media,gresni1,Sandpipers and Allies,Charadriiformes,NT,https://datazone.birdlife.org/species/factsheet/22693093,1,false,false,true,true,170,Wetland,3,3,Carnivore,Aquatic predator,Terrestrial,7813688.34,,CJ: As per Jack Snipe
252,Pintail Snipe,Gallinago stenura,,1984,avibase-EE61E2CA,ebird_single,Pin-tailed Snipe,Gallinago stenura,4083,Gallinago stenura,pitsni,Sandpipers and Allies,Charadriiformes,LC,https://datazone.birdlife.org/species/factsheet/22693085,1,false,false,false,true,113,Wetland,3,3,Carnivore,Aquatic predator,Terrestrial,8781511.92,,CJ: As per Jack Snipe
253,Asiatic Dowitcher,Limnodromus semipalmatus,0,#N/A,avibase-B7E68EC8,ebird_single,Asian Dowitcher,Limnodromus semipalmatus,4042,Limnodromus semipalmatus,asidow1,Sandpipers and Allies,Charadriiformes,NT,https://datazone.birdlife.org/species/factsheet/22693351,1,false,false,false,false,212,Wetland,3,3,Carnivore,Aquatic predator,Terrestrial,2745344,,"Rejected by Zimmerman et al. 1996. See East African Rarities Committee (EARC) Special Report
Species included for East African countries in Britton (1980)
which have since been considered unacceptable. https://eararities.org/downloads/Fisher,%20Pearson%20&%20Hunter%202016.pdf"
254,Black-tailed Godwit,Limosa limosa,,265,avibase-454B5CD5,ebird_single,Black-tailed Godwit,Limosa limosa,4032,Limosa limosa,bktgod,Sandpipers and Allies,Charadriiformes,NT,https://datazone.birdlife.org/species/factsheet/22693150,1,false,false,true,true,288.4,Wetland,3,3,Carnivore,Aquatic predator,Terrestrial,10058061.19,,
255,Bar-tailed Godwit,Limosa lapponica,,266,avibase-9A684C99,ebird_single,Bar-tailed Godwit,Limosa lapponica,4026,Limosa lapponica,batgod,Sandpipers and Allies,Charadriiformes,NT,https://datazone.birdlife.org/species/factsheet/22693158,1,false,false,true,true,291.7,Wetland,3,3,Carnivore,Aquatic predator,Terrestrial,1469087.3,,
256,Whimbrel,Numenius phaeopus,,268,avibase-082F3A63,sci_name_ebird,Eurasian Whimbrel,Numenius phaeopus,4012,Numenius phaeopus,whimbr5,Sandpipers and Allies,Charadriiformes,NE,,1,false,false,true,true,364.6,Grassland,3,3,Carnivore,Omnivore,Terrestrial,4802995.65,,
257,Curlew,Numenius arquata,,267,avibase-3BB5CBA6,ebird_single,Eurasian Curlew,Numenius arquata,4021,Numenius arquata,eurcur,Sandpipers and Allies,Charadriiformes,NT,https://datazone.birdlife.org/species/factsheet/22693190,1,false,false,true,true,803,Grassland,3,3,Carnivore,Aquatic predator,Terrestrial,12491410.25,,
258,Spotted Redshank,Tringa erythropus,,260,avibase-0895DD84,ebird_single,Spotted Redshank,Tringa erythropus,4130,Tringa erythropus,spored,Sandpipers and Allies,Charadriiformes,LC,https://datazone.birdlife.org/species/factsheet/22693207,1,false,false,true,true,158,Grassland,3,3,Carnivore,Aquatic predator,Terrestrial,3716042.92,,CJ: interesting that there is a 'decline' - I suspect this is a real one
259,Redshank,Tringa totanus,,261,avibase-D6BFC73A,ebird_single,Common Redshank,Tringa totanus,4118,Tringa totanus,comred1,Sandpipers and Allies,Charadriiformes,LC,https://datazone.birdlife.org/species/factsheet/22693211,1,false,false,true,true,129,Wetland,3,3,Carnivore,Aquatic predator,Terrestrial,19709237.23,,
