Column4,common_name,scientific_name,Column1,category,Column2,Column3
161,Brown-eared Woodpecker,Campethera caroli,Pardipicus caroli,F,Pardipicus caroli,Pardipicus caroli
160,Buff-spotted Woodpecker,Campethera nivosa,Pardipicus nivosus,F,Pardipicus nivosus,Pardipicus nivosus
399,Sharpe's Starling,Cinnyricinclus sharpii,Pholia sharpii,FF,Pholia sharpii,Pholia sharpii
190,Grey-olive Greenbul,Phyllastrephus cerviniventr,Phyllastrephus cerviniventris,F,Phyllastrephus cerviniventris,Phyllastrephus cerviniventris
201,Tiny Greenbul,Phyllastrephusd ebilis,Phyllastrephus debilis,FF,Phyllastrephus debilis,Phyllastrephus debilis
138,Double-toothed Barbet,Lybius bidentatus,Pogornornis bidentatus,f,Pogornornis bidentatus,Pogornornis bidentatus
137,Brown-breasted Barbet,Lybius melanopterus,Pogornornis melanopterus,f,Pogornornis melanopterus,Pogornornis melanopterus
175,White-headed Saw-wing,Psalidoprocne a/biceps,Psalidoprocne albiceps,f,Psalidoprocne albiceps,Psalidoprocne albiceps
176,Black Saw-wing,Psalidoprocne holomelas,Psalidoprocne pristoptera,f,Psalidoprocne pristoptera,Psalidoprocne pristoptera
273,Wood Warbler,Phylloscopus sibilatrix,Rhadina sibilatrix,F,Rhadina sibilatrix,Rhadina sibilatrix
290,White-chinned Prinia,Prinia leucopogon,Schistolais leucopogon,F,Schistolais leucopogon,Schistolais leucopogon
276,Uganda Woodland Warbler,Phylloscopus budongoensis,Seicercus budongoensis,FF,Seicercus budongoensis,Seicercus budongoensis
278,Brown Woodland Warbler,Phylloscopus umbrovirens,Seicercus umbrovirens,F,Seicercus umbrovirens,Seicercus umbrovirens
475,Yellow-crowned Canary,Serinus canicollis,Serinus flavivertex,f,Serinus flavivertex,Serinus flavivertex
169,African Broadbill,Smithomis capensis,Smithornis capensis,FF,Smithornis capensis,Smithornis capensis
473,Black-and-white Mannikin,Lonchura bicolor,Spermestes bicolor,f,Spermestes bicolor,Spermestes bicolor
474,Magpie Mannikin,Lonchura fringilloides,Spermestes fringilloides,f,Spermestes fringilloides,Spermestes fringilloides
465,Red-headed Bluebill,Spermophaga  ruficapilla,Spermophaga ruficapilla,F,Spermophaga ruficapilla,Spermophaga ruficapilla
186,Slender-billed Greenbul,Andropadus gracilirostris,Stelgidillas gracilirostris,FF,Stelgidillas gracilirostris,Stelgidillas gracilirostris
83,African Wood Owl,Strix woodfordi,Strix woodfordii,F,Strix woodfordii,Strix woodfordii
218,African Hill Babbler,Pseudoalcippe abyssinica,Sylvia abyssinica,FF,Sylvia abyssinica,Sylvia abyssinica
341,Red-bellied Paradise Flycatcher,Terpisphone  rufiventer,Terpsiphone rufiventer,FF,Terpsiphone rufiventer,Terpsiphone rufiventer
139,Yellow-billed Barbet,Trachylaemus  purpuratus,Trachylaemus purpuratus,F,Trachylaemus purpuratus,Trachylaemus purpuratus
250,Taita Thrush,Turdus (olivaceus) helleri,Turdus helleri,FF,Turdus helleri,Turdus helleri
255,Orange Ground Thrush,Zoothera gumeyi,Zoothera gurneyi (race raineyi),FF,Zoothera gurneyi (race raineyi),Zoothera gurneyi (race raineyi)
2,Spot-breasted  Ibis,Bostrychia rara,,F,#N/A,#N/A
3,Hartlaub' s Duck,Pteronetta hartlaubi ,,F,#N/A,#N/A
12,Chestnut-flanked Goshawk,Accipiter castanilius,,FF,#N/A,#N/A
14,(Western) Little Sparrowhawk,Accipiter minullus erythropus,,FF,#N/A,#N/A
18,Long-tailed Hawk,Urotriorchis macrourus,,FF,#N/A,#N/A
26,Forest Francolin,Francolinus lathami,,FF,#N/A,#N/A
27,Nahan's Francolin,Francolinus nahani,,FF,#N/A,#N/A
30,Handsome Francolin,Francolinus nobilis,,FF,#N/A,#N/A
34,Nkulengu Rail    ,Himantomis haematopus ,,FF,#N/A,#N/A
39,White-naped Pigeon,Columba albinucha,,FF,#N/A,#N/A
40,Western Bronze-naped Pigeon,Columba iriditorques,,FF,#N/A,#N/A
43,Afep Pigeon,Columba unicincta,,FF,#N/A,#N/A
49,Brown-necked  Parrot,Poicephalus suahelicus,,f,#N/A,#N/A
53,Black-collared Lovebird,Agapornis swindernianus,,F,#N/A,#N/A
56,Ruwenzori Turaco,Ruwenzorornis johnstoni,,FF,#N/A,#N/A
65,Black Cuckoo (ii),Cuculus clamosus clamosus,,FF,#N/A,#N/A
69,Dusky Long-tailed Cuckoo,Cercococcyx mechowi,,FF,#N/A,#N/A
70,Olive Long-tailed Cuckoo,Cercococcyx olivinus,,FF,#N/A,#N/A
73,Yellow-throated Cuckoo,Chrysococcyx  jlavigularis,,FF,#N/A,#N/A
78,Fraser's Eagle Owl,Bubo poensis,,FF,#N/A,#N/A
82,Chestnut Owlet,Glaucidium capense castaneum,,FF,#N/A,#N/A
87,Bates' s Nightjar,Caprimulgus batesi,,FF,#N/A,#N/A
89,Cassin' s Spinetail,Neafrapus cassini,,FF,#N/A,#N/A
