SEQ,common_name,scientific_name,merged_SEQ,ADU,avibaseID,flag,comment
32,Madagascar Squacco Heron,Ardeola idae,,883,avibase-EA2C460A,This species is prone to misidentification and its maps might be affected by error.,
33,Rufous-bellied Heron,Ardeola rufiventris,,65,avibase-AEB2DA9B,,
34,Green-backed Heron,Butorides striatus,,63,avibase-36DF115B,,
35,Little Egret,Egretta garzetta,,59,avibase-F2858F9F,,
36,African Reef Heron,Egretta gularis,,2190,avibase-DF32B1F9,This species is prone to misidentification and its maps might be affected by error.,
37,Black Heron,Egretta ardesiaca,,64,avibase-74853F89,,
38,Yellow-billed Egret,Egreta intermedia,,60,avibase-C3ABF863,,
39,Great White Egret,Egreta alba,,58,avibase-49D9148A,,
40,Grey Heron,Ardea cinerea,,54,avibase-6429024D,,
41,Purple Heron,Ardea purpurea,,57,avibase-3395DCF1,,
42,Goliath Heron,Ardea goliath,,56,avibase-C7888A15,,
43,Black-headed Heron,Ardea melanocephala,,55,avibase-25A648FE,,
44,Hamerkop,Scopus umbretta,,72,avibase-FC10F6ED,,
45,White Stork,Ciconia ciconia,,80,avibase-28825494,,
46,Black Stork,Ciconia nigra,,79,avibase-E2817DAE,,
47,Abdim's Stork,Ciconia abdimii,,78,avibase-26CD0319,,
48,Woolly-necked Stork,Ciconia episcopus,,77,avibase-F76E7B80,,
49,Saddle-billed Stork,Ephippiorhynchus senegalensis,,75,avibase-3D155653,,
50,Marabou Stork,Leptoptilos crumeniferus,,73,avibase-03C0F97C,,
51,Open-billed Stork,Anastomus lamelligerus,,74,avibase-0F14ECE4,,
52,Yellow-billed Stork,Mycteria ibis,,76,avibase-4F92C892,,
53,Sacred Ibis,Threskiornis aethiopicus,,81,avibase-550DE745,,
54,Hadada Ibis,Bostrychia hagedash,,84,avibase-CAFBA217,,
55,Green Ibis,Bostrychia olivacea,,2202,avibase-23ACB56E,,
56,Glossy Ibis,Plegadis falcinellus,,83,avibase-D4540F88,,
57,African Spoonbill,Platalea alba,,85,avibase-F86BB1D3,,
58,Eurasian Spoonbill,Platalea leucorodia,,2210,avibase-A0A584C1,This species is prone to misidentification and its maps might be affected by error.,
59,Greater Flamingo,Phoenicopterus ruber,,86,avibase-0F9B5174,,
60,Lesser Flamingo,Phoeniconaias minor,,87,avibase-B06A9079,,"CJ: Yes, the coastal increase certainly seems real. The literature was clear that LF were v rare on the coast. "
61,Fulvous Whistling Duck,Dendrocygna bicolor,,101,avibase-9A60617E,,
62,White-faced Whistling Duck,Dendrocygna viduata,,100,avibase-A534AFEA,,
63,Ruddy Shelduck,Tadorna ferruginea,0,#N/A,#N/A,,"Rejected by Zimmerman et al. 1996. See East African Rarities Committee (EARC) Special Report
Species included for East African countries in Britton (1980)
which have since been considered unacceptable. https://eararities.org/downloads/Fisher,%20Pearson%20&%20Hunter%202016.pdf"
64,Egyptian Goose,Alopochen aegyptiacus,,89,avibase-DA2F24E3,,
65,Spur-winged Goose,Plectopterus gambensis,,88,avibase-EB01B24C,,
66,Knob-billed Duck,Sarkidiornis melanotos,,91,avibase-3948131B,,
