TAXON_CONCEPT_ID	n_records
avibase-ED4CE8E7	633
avibase-D0A5FADB	633
avibase-7DF00403	627
avibase-B8DC9636	626
avibase-7C879D6D	625
avibase-4B8CC285	625
avibase-0EA5F2E1	624
avibase-DC3050A9	619
avibase-A15F6836	619
avibase-90D0D245	619
avibase-3A46A20C	617
avibase-36C24C3D	617
avibase-3D67C56A	614
avibase-3BB5CBA6	613
avibase-7DC78D7A	606
avibase-E561A180	601
avibase-9616C96E	599
avibase-B3D2C3C5	597
avibase-75E0430B	595
avibase-50BF77FB	590
avibase-6D3480A6	588
avibase-3413C42C	585
avibase-2DA2C52F	584
avibase-9FF4EDB5	583
avibase-18ED7458	583
avibase-959151D9	582
avibase-0B4F3AA2	582
avibase-5CE2F0DC	581
avibase-8439A6E7	579
avibase-FED54E53	578
avibase-AE073221	578
avibase-17DE4B1F	577
avibase-724266B4	576
avibase-2D52E3A5	576
avibase-418C7CCB	573
avibase-C54D2FEE	572
avibase-FA1CAD29	571
avibase-0BD37CDF	571
avibase-E999FD2D	570
avibase-7BEB0003	568
avibase-264D0351	561
avibase-07AD6C76	561
avibase-9C52632A	553
avibase-F3715F7B	552
avibase-D1D9B619	552
avibase-1F360691	548
avibase-2F2CB724	544
avibase-224B2B08	544
avibase-960B56F2	542
avibase-CF1DDF4E	537
avibase-A02BCF5E	536
avibase-67F06823	532
avibase-2E2DE0B6	531
avibase-76FAC9A5	527
avibase-78B665BF	523
avibase-12EA0D5A	522
avibase-56A7F384	518
avibase-E5DF48FC	517
avibase-90FDC4CC	514
avibase-D2B15B3F	512
avibase-BF29E8B6	512
avibase-6EF64F69	510
avibase-66931B3F	510
avibase-2A2C169B	505
avibase-55CCEE2D	500
avibase-0018A99B	493
avibase-F9FB0226	491
avibase-F7D77F4A	491
avibase-489FFCA9	491
avibase-AEB2DA9B	490
avibase-FA137697	489
avibase-C38DEB1A	486
avibase-319D044A	486
avibase-15F017B7	482
avibase-25C26AB9	478
avibase-7AAD57AC	474
avibase-214B3533	474
avibase-F577BA0F	472
avibase-50F3668C	470
avibase-BC06BC0D	469
avibase-2680F124	467
avibase-35D60F12	466
avibase-D8A51184	463
avibase-FB02DD96	462
avibase-8D562259	461
avibase-831FC147	459
avibase-75194A63	458
avibase-EE40DDB6	457
avibase-FED5AED5	456
avibase-2D157C82	455
avibase-19489268	454
avibase-2700C97D	445
avibase-D46EE5F8	444
avibase-4327F813	443
avibase-7C15B36B	442
avibase-D91540DE	441
avibase-4D2FF6F1	436
avibase-E6D52EF7	433
avibase-0B325B7F	433
avibase-FF2AF138	429
avibase-9144EF40	429
avibase-526978C4	425
avibase-5BD1E605	424
avibase-1F21FFE9	421
avibase-958F4A5E	415
avibase-B68BD0D2	409
avibase-F936B680	404
avibase-6B089785	401
avibase-EA2C460A	400
avibase-C2565B65	400
avibase-B675E006	399
avibase-2E4DAA13	397
avibase-E93A0F33	396
avibase-73BD4B29	396
avibase-F2C7AA06	395
avibase-98B15EE7	395
avibase-B10AD127	394
avibase-7B414273	394
avibase-71EF2ACB	393
avibase-6FC57210	391
avibase-4B21F4D8	391
avibase-F3618305	387
avibase-8EC7846A	384
avibase-8D05A048	382
avibase-8160D091	382
avibase-1AF3034A	376
avibase-6C81D39B	371
avibase-8ACC245F	370
avibase-A990EB0B	364
avibase-7CE29E0E	360
avibase-50490520	357
avibase-5B443EDE	356
avibase-C6D0CB7E	355
avibase-01C9752D	355
avibase-2C6D5362	349
avibase-C8857CC8	347
avibase-97E7A30B	346
avibase-706FEEB4	345
avibase-3C8C3A31	344
avibase-C1C255AA	343
avibase-D6F2837E	341
avibase-B24BD4A1	339
avibase-32DCEC14	339
avibase-1EEE86B8	339
avibase-98BA31AA	337
avibase-DAE4C523	336
avibase-5B74A911	333
avibase-9EE216F9	332
avibase-F3B46894	331
avibase-45A1D850	331
avibase-BD7C4F70	330
avibase-18A968DB	328
avibase-907B1140	327
avibase-915DABE2	326
avibase-9F2839A9	324
avibase-02E56D98	324
