SEQ,common_name,scientific_name,ADU,avibase_id,avilist_common_name,avilist_scientific_name,avilist_sort,avilist_members,ebird_code,checklist_family,order,birdlife_url,n_avilist_species,endemic,afrotropical,palearctic,waterbird,mass,habitat,habitat_density,migration,trophic_level,trophic_niche,primary_lifestyle,range_size,flag,comment,IUCN,old,new,lost,kept,gain,lost_score,gain_score
28,White-backed Night Heron,Gorsachius leuconotus,70,avibase-3C12AA44,White-backed Night Heron,Calherodius leuconotus,5297,Calherodius leuconotus,wbnher1,"Herons, Egrets, and Bitterns",Pelecaniformes,https://datazone.birdlife.org/species/factsheet/22697226,1,0,0,0,1,440,Wetland,2,2,Carnivore,Aquatic predator,Terrestrial,7860889.3,,,Least Concern,1,7,0,1,6,0,5.70212678545587
29,Night Heron,Nycticorax nycticorax,69,avibase-6BB94D7E,Black-crowned Night Heron,Nycticorax nycticorax,5341,Nycticorax nycticorax,bcnher,"Herons, Egrets, and Bitterns",Pelecaniformes,https://datazone.birdlife.org/species/factsheet/22697211,1,0,0,0,1,810,Wetland,3,3,Carnivore,Aquatic predator,Terrestrial,50345275.03,,,Least Concern,47,53,13,34,19,13.1178494851478,18.0947045911308
30,Cattle Egret,Bubulcus ibis,61,avibase-AB1CB216,Western Cattle Egret,Ardea ibis,5407,Ardea ibis,categr1,"Herons, Egrets, and Bitterns",Pelecaniformes,,1,0,0,0,1,366,Human Modified,3,2,Carnivore,Omnivore,Terrestrial,62451101.72,,,Not Evaluated,93,97,11,82,15,11.1349306377629,14.8295915903058
31,Squacco Heron,Ardeola ralloides,62,avibase-CE73EBD7,Squacco Heron,Ardeola ralloides,5395,Ardeola ralloides,squher1,"Herons, Egrets, and Bitterns",Pelecaniformes,https://datazone.birdlife.org/species/factsheet/22697123,1,0,0,0,1,287,Wetland,3,3,Carnivore,Aquatic predator,Terrestrial,20358790,,,Least Concern,63,63,17,46,17,16.9275535821248,16.3578863844246
32,Madagascar Squacco Heron,Ardeola idae,883,avibase-EA2C460A,Malagasy Pond Heron,Ardeola idae,5396,Ardeola idae,mapher1,"Herons, Egrets, and Bitterns",Pelecaniformes,https://datazone.birdlife.org/species/factsheet/22697143,1,0,0,0,1,253,Wetland,3,1,Carnivore,Aquatic predator,Terrestrial,551800.88,"This species is prone to misidentification and its maps might be affected by error.",,Endangered,19,22,8,11,11,7.71299956986842,10.4712553764208
33,Rufous-bellied Heron,Ardeola rufiventris,65,avibase-AEB2DA9B,Rufous-bellied Heron,Ardeola rufiventris,5394,Ardeola rufiventris,rubher2,"Herons, Egrets, and Bitterns",Pelecaniformes,https://datazone.birdlife.org/species/factsheet/22697150,1,0,0,0,1,201.5,Wetland,3,1,Carnivore,Aquatic predator,Terrestrial,5546086.48,,,Least Concern,5,7,1,4,3,0.953274456883875,2.82825113762514
34,Green-backed Heron,Butorides striatus,63,avibase-67ADD2E3,Striated Heron,Butorides striata,5379,Butorides striata,strher2,"Herons, Egrets, and Bitterns",Pelecaniformes,,1,0,0,0,1,201.5,Wetland,3,1,Carnivore,Aquatic predator,Terrestrial,53556698.29,,,Not Evaluated,59,67,11,48,19,10.9160412737141,18.2815480550169
35,Little Egret,Egretta garzetta,59,avibase-F2858F9F,Little Egret,Egretta garzetta,5328,Egretta garzetta,litegr,"Herons, Egrets, and Bitterns",Pelecaniformes,,1,0,0,0,1,312,Wetland,3,2,Carnivore,Aquatic predator,Terrestrial,34141787.35,,,Not Evaluated,64,67,12,52,15,12.2588179624319,14.1857055622423
36,African Reef Heron,Egretta gularis,2190,avibase-DF32B1F9,Western Reef Heron,Egretta gularis,5325,Egretta gularis,werher,"Herons, Egrets, and Bitterns",Pelecaniformes,,1,0,1,0,1,312,Coastal,3,2,Carnivore,Aquatic predator,Terrestrial,2265036.6,"This species is prone to misidentification and its maps might be affected by error.",,Not Evaluated,13,12,6,7,5,5.7202594138665,4.86874820044758
37,Black Heron,Egretta ardesiaca,64,avibase-74853F89,Black Heron,Egretta ardesiaca,5316,Egretta ardesiaca,blaher1,"Herons, Egrets, and Bitterns",Pelecaniformes,https://datazone.birdlife.org/species/factsheet/22696926,1,0,0,0,1,324,Wetland,3,1,Carnivore,Aquatic predator,Terrestrial,8505004.79,,,Least Concern,24,33,7,17,16,6.85851896713746,15.255182635199
38,Yellow-billed Egret,Egreta intermedia,60,avibase-C3ABF863,Yellow-billed Egret,Ardea brachyrhyncha,5404,Ardea brachyrhyncha,integr3,"Herons, Egrets, and Bitterns",Pelecaniformes,https://datazone.birdlife.org/species/factsheet/22727677,1,0,0,0,1,458.8,Wetland,3,2,Carnivore,Aquatic predator,Terrestrial,5469087.01,,,Least Concern,53,71,7,46,25,6.89058058673044,23.8860367423182
39,Great White Egret,Egreta alba,58,avibase-49D9148A,Great Egret,Ardea alba,5399,Ardea alba,greegr,"Herons, Egrets, and Bitterns",Pelecaniformes,https://datazone.birdlife.org/species/factsheet/22697043,1,0,0,0,1,871.3,Wetland,3,2,Carnivore,Aquatic predator,Terrestrial,74898555.49,,,Least Concern,65,74,10,55,19,10.0897372111307,18.3420646346728
40,Grey Heron,Ardea cinerea,54,avibase-6429024D,Grey Heron,Ardea cinerea,5419,Ardea cinerea,graher1,"Herons, Egrets, and Bitterns",Pelecaniformes,https://datazone.birdlife.org/species/factsheet/22696993,1,0,0,0,1,1443,Wetland,3,1,Carnivore,Aquatic predator,Terrestrial,46421646.29,,,Least Concern,81,88,7,74,14,6.97315997147676,13.5738702557161
41,Purple Heron,Ardea purpurea,57,avibase-3395DCF1,Purple Heron,Ardea purpurea,5412,Ardea purpurea,purher1,"Herons, Egrets, and Bitterns",Pelecaniformes,https://datazone.birdlife.org/species/factsheet/22697031,1,0,0,0,1,1064.5,Wetland,3,3,Carnivore,Aquatic predator,Terrestrial,34922824.77,,,Least Concern,51,53,14,37,16,13.9436990242224,15.3741228314031
42,Goliath Heron,Ardea goliath,56,avibase-C7888A15,Goliath Heron,Ardea goliath,5418,Ardea goliath,golher1,"Herons, Egrets, and Bitterns",Pelecaniformes,https://datazone.birdlife.org/species/factsheet/22697017,1,0,0,0,1,4468,Wetland,3,1,Carnivore,Aquatic predator,Terrestrial,17833051.09,,,Least Concern,52,62,8,44,18,7.92000395876976,17.4121140046812
43,Black-headed Heron,Ardea melanocephala,55,avibase-25A648FE,Black-headed Heron,Ardea melanocephala,5417,Ardea melanocephala,blhher1,"Herons, Egrets, and Bitterns",Pelecaniformes,https://datazone.birdlife.org/species/factsheet/22697008,1,0,0,0,1,1060,Wetland,3,1,Carnivore,Omnivore,Terrestrial,19067243.58,,,Least Concern,85,96,6,79,17,6.07046274975905,16.8126536129195
44,Hamerkop,Scopus umbretta,72,avibase-FC10F6ED,Hamerkop,Scopus umbretta,5221,Scopus umbretta,hamerk1,"Hamerkop",Pelecaniformes,https://datazone.birdlife.org/species/factsheet/22697356,1,0,0,0,1,472,Wetland,3,2,Carnivore,Omnivore,Terrestrial,19881333.45,,,Least Concern,92,95,5,87,8,5.09365624458416,7.81944461623749
45,White Stork,Ciconia ciconia,80,avibase-28825494,White Stork,Ciconia ciconia,4997,Ciconia ciconia,whisto1,"Storks",Ciconiiformes,https://datazone.birdlife.org/species/factsheet/22697691,1,0,0,1,1,3445.8,Grassland,3,3,Carnivore,Omnivore,Terrestrial,5196114,,,Least Concern,73,62,23,50,12,22.9416683362857,11.688130292897
46,Black Stork,Ciconia nigra,79,avibase-E2817DAE,Black Stork,Ciconia nigra,4994,Ciconia nigra,blasto1,"Storks",Ciconiiformes,https://datazone.birdlife.org/species/factsheet/22697669,1,0,0,1,1,2926,Woodland,2,3,Carnivore,Aquatic predator,Terrestrial,18362407.3,,,Least Concern,41,42,15,26,16,15.0391924515945,15.3825704948769
