SEQ,common_name,scientific_name,ADU,avibase_id,avilist_common_name,avilist_scientific_name,avilist_sort,avilist_members,ebird_code,checklist_family,order,birdlife_url,n_avilist_species,endemic,afrotropical,palearctic,waterbird,mass,habitat,habitat_density,migration,trophic_level,trophic_niche,primary_lifestyle,range_size,flag,comment,IUCN,old,new,lost,kept,gain,lost_score,gain_score
598,Northern Pied Babbler,Turdoides hypoleucus,3446,avibase-B0F2FB67,Northern Pied Babbler,Turdoides hypoleuca,25125,Turdoides hypoleuca,norpib1,"Laughingthrushes and Allies",Passeriformes,https://datazone.birdlife.org/species/factsheet/22716469,1,0,0,0,0,74,Shrubland,2,1,Omnivore,Omnivore,Generalist,89042.46,,,Least Concern,17,23,3,14,9,3.00803810377642,8.53912782570177
599,Scaly Babbler,Turdoides squamulatus,3462,avibase-0E9C6F45,Scaly Babbler,Turdoides squamulata,25096,Turdoides squamulata,scabab2,"Laughingthrushes and Allies",Passeriformes,https://datazone.birdlife.org/species/factsheet/22716434,1,0,0,0,0,69.4,Shrubland,2,1,Omnivore,Omnivore,Insessorial,64347.57,,,Least Concern,8,9,3,5,4,2.97885063731906,3.97601247106414
600,Hinde's Pied Babbler,Turdoides hindei,3444,avibase-224B2B08,Hinde's Babbler,Turdoides hindei,25095,Turdoides hindei,hipbab1,"Laughingthrushes and Allies",Passeriformes,https://datazone.birdlife.org/species/factsheet/22716480,1,1,0,0,0,67.6,Shrubland,2,1,Omnivore,Omnivore,Generalist,13807.07,,,Near Threatened,7,14,0,7,7,0,6.91092850469362
601,Arrow-marked Babbler,Turdoides jardineii,533,avibase-E6576A8D,Arrow-marked Babbler,Turdoides jardineii,25100,Turdoides jardineii,armbab1,"Laughingthrushes and Allies",Passeriformes,https://datazone.birdlife.org/species/factsheet/22716501,1,0,0,0,0,78.2,Shrubland,2,1,Carnivore,Invertivore,Generalist,5822352.5,,,Least Concern,13,36,1,12,24,0.959026240201242,22.9153622027412
602,Brown Babbler,Turdoides plebejus,3452,avibase-6EBDD2D5,Brown Babbler,Turdoides plebejus,25085,Turdoides plebejus,brobab1,"Laughingthrushes and Allies",Passeriformes,https://datazone.birdlife.org/species/factsheet/22716487,1,0,0,0,0,62.5,Woodland,2,1,Omnivore,Invertivore,Terrestrial,5173060.81,,,Least Concern,16,29,3,13,16,2.9594362855543,15.3614902978713
603,Red-shouldered Cuckoo Shrike,Campephaga phoenicea,2342,avibase-439F76D1,Red-shouldered Cuckooshrike,Campephaga phoenicea,17689,Campephaga phoenicea,rescus1,"Cuckooshrikes",Passeriformes,https://datazone.birdlife.org/species/factsheet/22706700,1,0,0,0,0,27.1,Woodland,2,1,Carnivore,Invertivore,Insessorial,4733993.8,,,Least Concern,2,2,1,1,1,0.972712084595792,0.977637739136406
604,Black Cuckoo Shrike,Campephaga flava,513,avibase-F9031A09,Black Cuckooshrike,Campephaga flava,17687,Campephaga flava,blkcus1,"Cuckooshrikes",Passeriformes,https://datazone.birdlife.org/species/factsheet/22706695,1,0,0,0,0,32.3,Shrubland,2,1,Carnivore,Invertivore,Insessorial,5014249.34,,,Least Concern,75,76,10,65,11,9.84768242890931,10.7667782744563
605,Petit's Cuckoo Shrike,Campephaga petiti,2340,avibase-95A02709,Petit's Cuckooshrike,Campephaga petiti,17688,Campephaga petiti,petcus1,"Cuckooshrikes",Passeriformes,https://datazone.birdlife.org/species/factsheet/22706690,1,0,0,0,0,31.3,Forest,1,1,Carnivore,Invertivore,Insessorial,508880.65,,,Least Concern,1,2,0,1,1,0,0.959026240201242
606,Purple-throated Cuckoo Shrike,Campephaga quisqualina,2344,avibase-37D0D696,Purple-throated Cuckooshrike,Campephaga quiscalina,17690,Campephaga quiscalina,putcus1,"Cuckooshrikes",Passeriformes,https://datazone.birdlife.org/species/factsheet/22706705,1,0,0,0,0,34.5,Forest,1,1,Carnivore,Invertivore,Insessorial,1373914.13,,,Least Concern,17,21,5,12,9,4.85245406209777,8.66433725196191
607,Grey Cuckoo Shrike,Coracina caesia,516,avibase-C7B05F46,Grey Cuckooshrike,Ceblepyris caesius,17580,Ceblepyris caesius,grycus1,"Cuckooshrikes",Passeriformes,https://datazone.birdlife.org/species/factsheet/22706543,1,0,0,0,0,47.3,Forest,1,1,Carnivore,Invertivore,Insessorial,905645.62,,,Least Concern,28,34,8,20,14,7.87612683246849,13.6670779831676
608,White-breasted Cuckoo Shrike,Coracina pectoralis,515,avibase-6E682612,White-breasted Cuckooshrike,Ceblepyris pectoralis,17583,Ceblepyris pectoralis,whbcus2,"Cuckooshrikes",Passeriformes,https://datazone.birdlife.org/species/factsheet/22706538,1,0,0,0,0,54.4,Woodland,2,1,Carnivore,Invertivore,Insessorial,6110219.71,,,Least Concern,0,1,0,0,1,0,0.983462364966188
609,Common Bulbul,Pycnonotus barbatus,3036,avibase-6ABDB635,Common Bulbul,Pycnonotus barbatus,23566,Pycnonotus barbatus,combul2,"Bulbuls",Passeriformes,https://datazone.birdlife.org/species/factsheet/22712650,1,0,0,0,0,32.1,Woodland,2,1,Herbivore,Frugivore,Insessorial,19572184.19,,,Least Concern,112,115,2,110,5,2.1371954777737,5.02281391731209
610,Little Greenbul,Andropadus virens,565,avibase-3413C42C,Little Greenbul,Eurillas virens,23361,Eurillas virens,litgre2,"Bulbuls",Passeriformes,https://datazone.birdlife.org/species/factsheet/22712766,1,0,0,0,0,26.6,Forest,1,1,Herbivore,Frugivore,Insessorial,5766996.33,,,Least Concern,9,11,2,7,4,1.91393696317012,3.82676632019019
611,Little Grey Greenbul,Andropadus gracilis,2950,avibase-486103D7,Little Grey Greenbul,Eurillas gracilis,23374,Eurillas gracilis,grygre1,"Bulbuls",Passeriformes,https://datazone.birdlife.org/species/factsheet/22712777,1,0,0,0,0,21.6,Forest,1,1,Herbivore,Omnivore,Insessorial,3552112.86,,,Least Concern,1,2,0,1,1,0,0.959026240201242
612,Ansorge's Greenbul,Andropadus ansorgei,2944,avibase-0EA5F2E1,Ansorge's Greenbul,Eurillas ansorgei,23378,Eurillas ansorgei,ansgre1,"Bulbuls",Passeriformes,https://datazone.birdlife.org/species/factsheet/22712782,1,0,0,0,0,18.7,Forest,1,1,Herbivore,Frugivore,Insessorial,1858480.06,,,Least Concern,1,2,0,1,1,0,0.959026240201242
613,Slender-billed Greenbul,Andropadus gracilirostris,2948,avibase-5D82C13B,Slender-billed Greenbul,Stelgidillas gracilirostris,23288,Stelgidillas gracilirostris,slbgre1,"Bulbuls",Passeriformes,https://datazone.birdlife.org/species/factsheet/22712791,1,0,0,0,0,31.2,Forest,1,1,Herbivore,Frugivore,Insessorial,3807444.87,,,Least Concern,16,25,0,16,9,0,8.68222896902073
614,Cameroon Sombre Greenbul,Andropadus curvirostris,2946,avibase-0B325B7F,Plain Greenbul,Eurillas curvirostris,23371,Eurillas curvirostris,plagre2,"Bulbuls",Passeriformes,https://datazone.birdlife.org/species/factsheet/22712786,1,0,0,0,0,24.9,Forest,1,1,Herbivore,Omnivore,Insessorial,3502649.29,,,Least Concern,2,7,0,2,5,0,4.77344796749708
615,Mountain Greenbul,Andropadus tephrolaemus,2942,avibase-FC523946,Black-headed Mountain Greenbul,Arizelocichla nigriceps,23314,Arizelocichla nigriceps,easmog2,"Bulbuls",Passeriformes,,1,0,0,0,0,34.5,Forest,1,1,Herbivore,Frugivore,Insessorial,248447.89,,,Not Evaluated,17,22,4,13,9,4.04235060925227,8.64363258764883
616,Stripe-cheeked Greenbul,Andropadus milanjensis,549,avibase-8479F56E,Stripe-cheeked Greenbul,Arizelocichla milanjensis,23322,Arizelocichla milanjensis,stcgre1,"Bulbuls",Passeriformes,https://datazone.birdlife.org/species/factsheet/22730593,1,0,0,0,0,37.4,Forest,2,1,Omnivore,Omnivore,Insessorial,42374.09,,,Near Threatened,2,6,0,2,4,0,3.83417847397567
617,Shelley's Greenbul,Andropadus masukuensis,555,avibase-6FC57210,Shelley's Greenbul,Arizelocichla masukuensis,23305,Arizelocichla masukuensis,shegre1,"Bulbuls",Passeriformes,https://datazone.birdlife.org/species/factsheet/22712760,1,0,0,0,0,26.8,Forest,1,1,Omnivore,Invertivore,Insessorial,163721.68,,,Least Concern,3,3,0,3,0,0,0
618,Yellow-whiskered Greenbul,Andropadus latirostris,1111,avibase-728B225E,Yellow-whiskered Greenbul,Eurillas latirostris,23367,Eurillas latirostris,yewgre1,"Bulbuls",Passeriformes,https://datazone.birdlife.org/species/factsheet/22712800,1,0,0,0,0,26.2,Forest,1,1,Omnivore,Frugivore,Insessorial,3682285.72,,,Least Concern,29,43,3,26,17,2.94576593883333,16.4803206431354
619,Zanzibar Sombre Greenbul,Andropadus importunus,551,avibase-79A45DAF,Sombre Greenbul,Andropadus importunus,23280,Andropadus importunus,somgre1,"Bulbuls",Passeriformes,https://datazone.birdlife.org/species/factsheet/22712795,1,0,0,0,0,27.4,Shrubland,2,1,Herbivore,Frugivore,Insessorial,1338546.67,,,Least Concern,38,42,4,34,8,3.93049962798118,7.69203748301015
620,Yellow-throated Leaflove,Chlorocichla flavicollis,1194,avibase-C73137EA,Yellow-gorgeted Greenbul,Atimastillas flavicollis,23329,Atimastillas flavicollis,yetgre2,"Bulbuls",Passeriformes,https://datazone.birdlife.org/species/factsheet/103817373,1,0,0,0,0,48.7,Shrubland,2,1,Herbivore,Frugivore,Insessorial,1683203.48,,,Least Concern,16,18,1,15,3,0.944719062388575,2.81076003404855
621,Yellow-bellied Greenbul,Chlorocichla flaviventris,550,avibase-D083BB3F,Yellow-bellied Greenbul,Chlorocichla flaviventris,23344,Chlorocichla flaviventris,yebgre1,"Bulbuls",Passeriformes,https://datazone.birdlife.org/species/factsheet/22712865,1,0,0,0,0,39.4,Forest,1,1,Herbivore,Omnivore,Insessorial,3986239.89,,,Least Concern,16,31,3,13,18,2.95425480153991,17.5142886238243
622,Joyful Greenbul,Chlorocichla laetissima,2972,avibase-4602AC01,Joyful Greenbul,Chlorocichla laetissima,23339,Chlorocichla laetissima,joygre1,"Bulbuls",Passeriformes,https://datazone.birdlife.org/species/factsheet/22712869,1,0,0,0,0,50.2,Forest,1,1,Herbivore,Omnivore,Insessorial,137013.1,,,Least Concern,10,9,4,6,3,3.82010050303168,2.86333342264477
623,Bristlebill,Bleda syndactyla,1191,avibase-5A94FEAE,Red-tailed Bristlebill,Bleda syndactylus,23294,Bleda syndactylus,combri2,"Bulbuls",Passeriformes,https://datazone.birdlife.org/species/factsheet/22713056,1,0,0,0,0,46.1,Forest,1,1,Carnivore,Invertivore,Insessorial,3527560.89,,,Least Concern,3,2,1,2,0,0.99040666690827,0
624,Honeyguide Greenbul,Baeopogon indicator,1113,avibase-E6A0D208,Honeyguide Greenbul,Baeopogon indicator,23335,Baeopogon indicator,hongre1,"Bulbuls",Passeriformes,https://datazone.birdlife.org/species/factsheet/22712837,1,0,0,0,0,45.8,Forest,1,1,Herbivore,Frugivore,Insessorial,4280773.28,,,Least Concern,2,2,0,2,0,0,0
625,Fischer's Greenbul,Phyllastrephus fischeri,2998,avibase-2DA2C52F,Fischer's Greenbul,Phyllastrephus fischeri,23411,Phyllastrephus fischeri,fisgre1,"Bulbuls",Passeriformes,https://datazone.birdlife.org/species/factsheet/22712896,1,0,0,0,0,27,Forest,1,1,Carnivore,Invertivore,Generalist,270855.04,,,Least Concern,8,7,2,6,1,1.96856195049883,0.974821075487656
626,Olive Mountain Greenbul,Phyllastrephus placidus,1086,avibase-24F71192,Cabanis's Greenbul,Phyllastrephus cabanisi,23412,Phyllastrephus cabanisi,cabgre1,"Bulbuls",Passeriformes,https://datazone.birdlife.org/species/factsheet/22712890,1,0,0,0,0,34.4,Forest,1,1,Carnivore,Invertivore,Generalist,1995009.62,,,Least Concern,29,42,2,27,15,1.95506997528541,14.4944862501947
627,Brownbul,Phyllastrephus terrestris,546,avibase-07FD1D4C,Terrestrial Brownbul,Phyllastrephus terrestris,23401,Phyllastrephus terrestris,terbro1,"Bulbuls",Passeriformes,https://datazone.birdlife.org/species/factsheet/22712905,1,0,0,0,0,31.1,Forest,1,1,Carnivore,Invertivore,Generalist,2434586.59,,,Least Concern,9,8,4,5,3,3.93247832644786,2.91068883195828
628,Northern Brownbul,Phyllastrephus strepitans,3024,avibase-29820AD9,Northern Brownbul,Phyllastrephus strepitans,23407,Phyllastrephus strepitans,norbro1,"Bulbuls",Passeriformes,https://datazone.birdlife.org/species/factsheet/22712910,1,0,0,0,0,27.1,Shrubland,2,1,Omnivore,Invertivore,Insessorial,1347241.75,,,Least Concern,48,68,11,37,31,11.0292150370791,30.1650793395647
629,Grey-olive Greenbul,Phyllastrephus cerviniventris,965,avibase-7CE29E0E,Grey-olive Greenbul,Phyllastrephus cerviniventris,23408,Phyllastrephus cerviniventris,gyogre1,"Bulbuls",Passeriformes,https://datazone.birdlife.org/species/factsheet/22712919,1,0,0,0,0,27,Shrubland,2,1,Carnivore,Invertivore,Generalist,1170058.23,,,Least Concern,3,14,0,3,11,0,10.5335726815284
630,Yellow-streaked Greenbul,Phyllastrephus flavostriatus,547,avibase-651384DF,Yellow-streaked Greenbul,Phyllastrephus flavostriatus,23388,Phyllastrephus flavostriatus,yesbul1,"Bulbuls",Passeriformes,https://datazone.birdlife.org/species/factsheet/22730603,1,0,0,0,0,28.3,Forest,1,1,Carnivore,Invertivore,Insessorial,444379.94,"Species not recorded during both the old and new atlas, but recorded in Kenya.",,Least Concern,0,0,0,0,0,0,0
631,Toro Olive Greenbul,Phyllastrephus baumanni,3012,avibase-2E3D5AAF,Toro Olive Greenbul,Phyllastrephus hypochloris,23421,Phyllastrephus hypochloris,toogre1,"Bulbuls",Passeriformes,https://datazone.birdlife.org/species/factsheet/22712935,1,0,0,0,0,23.1,Forest,1,1,Carnivore,Invertivore,Insessorial,134659.57,,,Least Concern,1,2,0,1,1,0,0.959026240201242
632,Tiny Greenbul,Phyllastrephus debilis,548,avibase-FA137697,Lowland Tiny Greenbul,Phyllastrephus debilis,23382,Phyllastrephus debilis,tingre1,"Bulbuls",Passeriformes,https://datazone.birdlife.org/species/factsheet/103819211,1,0,0,0,0,14.3,Shrubland,2,1,Carnivore,Invertivore,Insessorial,199654.82,,,Least Concern,4,5,0,4,1,0,0.952087957490116
633,Nicator,Nicator chloris,725,avibase-7066D2F1,Eastern Nicator,Nicator gularis,21469,Nicator gularis,easnic1,"Nicators",Passeriformes,https://datazone.birdlife.org/species/factsheet/22713100,1,0,0,0,0,45.6,Woodland,1,1,Carnivore,Invertivore,Insessorial,940421.62,,,Least Concern,23,28,5,18,10,4.9641956198096,9.56318214217032
634,Stonechat,Saxicola torquata,576,avibase-CF2E9674,African Stonechat,Saxicola torquatus,27996,Saxicola torquatus,afrsto1,"Chats, Old World Flycatchers, and Allies",Passeriformes,,1,0,0,0,0,14.1,Shrubland,3,2,Carnivore,Invertivore,Insessorial,32655980.34,,,Not Evaluated,32,42,4,28,14,3.85748405561309,13.4458290663992
635,Whinchat,Saxicola rubetra,577,avibase-A0EDAEA2,Whinchat,Saxicola rubetra,27967,Saxicola rubetra,whinch1,"Chats, Old World Flycatchers, and Allies",Passeriformes,https://datazone.birdlife.org/species/factsheet/22710156,1,0,0,1,0,16.6,Shrubland,2,3,Carnivore,Invertivore,Insessorial,10238944.41,,,Least Concern,30,39,4,26,13,3.85976111331614,12.1814551433303
636,Capped Wheatear,Oenanthe pileata,568,avibase-E6BD3258,Capped Wheatear,Oenanthe pileata,28087,Oenanthe pileata,capwhe1,"Chats, Old World Flycatchers, and Allies",Passeriformes,https://datazone.birdlife.org/species/factsheet/22710329,1,0,0,0,0,26.8,Grassland,3,2,Carnivore,Invertivore,Insessorial,5997462.33,,,Least Concern,41,39,9,32,7,9.02296563572014,6.80794111473873
637,Red-breasted Wheatear,Oenanthe bottae,2664,avibase-6ADB636C,Heuglin's Wheatear,Oenanthe heuglinii,28094,Oenanthe heuglinii,heuwhe1,"Chats, Old World Flycatchers, and Allies",Passeriformes,https://datazone.birdlife.org/species/factsheet/22710348,1,0,0,0,0,19.9,Grassland,3,2,Carnivore,Invertivore,Insessorial,4731515.76,,,Least Concern,1,2,0,1,1,0,0.955521926965063
638,Isabelline Wheatear,Oenanthe isabellina,1010,avibase-E6C6F746,Isabelline Wheatear,Oenanthe isabellina,28093,Oenanthe isabellina,isawhe1,"Chats, Old World Flycatchers, and Allies",Passeriformes,https://datazone.birdlife.org/species/factsheet/22710333,1,0,0,1,0,29.4,Shrubland,3,3,Carnivore,Invertivore,Insessorial,11710698.47,,,Least Concern,100,77,27,73,4,26.9093722646779,3.89104226173608
639,Northern Wheatear,Oenanthe oenanthe,563,avibase-DF526047,Northern Wheatear,Oenanthe oenanthe,28083,Oenanthe oenanthe,norwhe,"Chats, Old World Flycatchers, and Allies",Passeriformes,https://datazone.birdlife.org/species/factsheet/103773898,1,0,0,1,0,25.4,Grassland,3,3,Carnivore,Invertivore,Insessorial,29248291.46,,,Least Concern,93,80,23,70,10,23.2376114435716,9.67524473324675
640,Pied Wheatear,Oenanthe pleschanka,1023,avibase-2FB34D83,Pied Wheatear,Oenanthe pleschanka,28079,Oenanthe pleschanka,piewhe1,"Chats, Old World Flycatchers, and Allies",Passeriformes,https://datazone.birdlife.org/species/factsheet/22710308,1,0,0,1,0,19.4,Rock,3,3,Carnivore,Invertivore,Insessorial,8846595.23,,,Least Concern,99,64,43,56,8,43.1487041331981,7.7861900679072
641,Black-eared Wheatear,Oenanthe hispanica,2674,avibase-9611335C,Western/Eastern Black-eared Wheatear,Oenanthe sp.,28078,Oenanthe hispanica|Oenanthe melanoleuca,bkewhe1|bkewhe2,"Chats, Old World Flycatchers, and Allies",Passeriformes,,2,0,0,0,0,15,Shrubland,2,3,Omnivore,Invertivore,Insessorial,3529344.19,,,Not Evaluated,1,1,1,0,1,0.952503076056223,0.970197902416558
642,Desert Wheatear,Oenanthe deserti,2670,avibase-078BC0ED,Desert Wheatear,Oenanthe deserti,28074,Oenanthe deserti,deswhe1,"Chats, Old World Flycatchers, and Allies",Passeriformes,https://datazone.birdlife.org/species/factsheet/22710325,1,0,0,0,0,19.8,Grassland,3,2,Carnivore,Invertivore,Insessorial,7736786.49,,,Least Concern,1,1,1,0,1,1.04737065643645,0.995416115101133
643,Mourning Wheatear,Oenanthe lugens,2682,avibase-5396F9FB,Abyssinian Wheatear,Oenanthe lugubris,28147,Oenanthe lugubris,mouwhe4,"Chats, Old World Flycatchers, and Allies",Passeriformes,https://datazone.birdlife.org/species/factsheet/22710287,1,0,0,0,0,22.4,Rock,3,1,Carnivore,Invertivore,Insessorial,2312897.13,,,Least Concern,12,9,4,8,1,3.95227468372057,0.970900599702378
644,Sprosser,Luscinia luscinia,592,avibase-6EC66752,Thrush Nightingale,Luscinia luscinia,27664,Luscinia luscinia,thrnig1,"Chats, Old World Flycatchers, and Allies",Passeriformes,https://datazone.birdlife.org/species/factsheet/22709691,1,0,0,1,0,23.8,Shrubland,1,3,Carnivore,Invertivore,Generalist,6890175.16,,,Least Concern,46,42,13,33,9,12.7333909319623,8.70234395429481
645,Nightingale,Luscinia megarhynchos,2596,avibase-7C7F0DEE,Common Nightingale,Luscinia megarhynchos,27665,Luscinia megarhynchos,comnig1,"Chats, Old World Flycatchers, and Allies",Passeriformes,https://datazone.birdlife.org/species/factsheet/22709696,1,0,0,1,0,19.6,Woodland,1,3,Carnivore,Invertivore,Generalist,6778462.19,,,Least Concern,46,35,20,26,9,19.805361502579,8.51355593103364
646,Irania,Irania gutturalis,2592,avibase-73BD4B29,White-throated Robin,Irania gutturalis,27662,Irania gutturalis,whtrob3,"Chats, Old World Flycatchers, and Allies",Passeriformes,https://datazone.birdlife.org/species/factsheet/22709758,1,0,0,1,0,21.6,Shrubland,2,3,Carnivore,Invertivore,Insessorial,1374813.39,,,Least Concern,26,32,10,16,16,10.0209750042104,15.3902337050245
647,Redstart,Phoenicurus phoenicurus,1004,avibase-06DD9D95,Common Redstart,Phoenicurus phoenicurus,27926,Phoenicurus phoenicurus,comred2,"Chats, Old World Flycatchers, and Allies",Passeriformes,https://datazone.birdlife.org/species/factsheet/22710055,1,0,0,1,0,14.6,Woodland,1,3,Carnivore,Invertivore,Insessorial,14485113.51,,,Least Concern,18,5,15,3,2,14.5935714370628,1.93658463785408
648,Red-tailed Chat,Cercomela familiaris,570,avibase-CD8DEBE3,Familiar Chat,Oenanthe familiaris,28110,Oenanthe familiaris,famcha1,"Chats, Old World Flycatchers, and Allies",Passeriformes,https://datazone.birdlife.org/species/factsheet/22710367,1,0,0,0,0,19.5,Shrubland,2,1,Carnivore,Invertivore,Insessorial,7293437.67,,,Least Concern,12,7,9,3,4,9.0806554146277,3.7892021135945
649,Brown-tailed Rock Chat,Cercomela scotocerca,2550,avibase-DA3F40DB,Brown-tailed Rock Chat,Oenanthe scotocerca,28119,Oenanthe scotocerca,brtcha1,"Chats, Old World Flycatchers, and Allies",Passeriformes,https://datazone.birdlife.org/species/factsheet/22710371,1,0,0,0,0,16,Rock,3,1,Omnivore,Invertivore,Generalist,554755.07,,,Least Concern,13,23,3,10,13,3.1476004769275,12.5995042877406
650,Alpine Chat,Cercomela sordida,2552,avibase-8EB0AB41,Moorland Chat,Pinarochroa sordida,28038,Pinarochroa sordida,moocha1,"Chats, Old World Flycatchers, and Allies",Passeriformes,https://datazone.birdlife.org/species/factsheet/22710389,1,0,0,0,0,21,Grassland,2,1,Carnivore,Invertivore,Insessorial,188372.16,,,Least Concern,6,9,1,5,4,1.08679167885342,3.87533613991809
651,Rock Thrush,Monticola saxatilis,2618,avibase-736D38E7,Common Rock Thrush,Monticola saxatilis,27947,Monticola saxatilis,rtrthr1,"Chats, Old World Flycatchers, and Allies",Passeriformes,https://datazone.birdlife.org/species/factsheet/22708257,1,0,0,1,0,50.3,Rock,2,3,Carnivore,Invertivore,Insessorial,8709224.99,,,Least Concern,93,68,30,63,5,29.9733988742269,4.76497174520641
652,Little Rock Thrush,Monticola rufocinerea,2616,avibase-566669CC,Little Rock Thrush,Monticola rufocinereus,27944,Monticola rufocinereus,lirthr1,"Chats, Old World Flycatchers, and Allies",Passeriformes,https://datazone.birdlife.org/species/factsheet/22708265,1,0,0,0,0,24,Rock,2,1,Carnivore,Invertivore,Insessorial,583391.08,,,Least Concern,19,37,3,16,21,2.92116487402768,20.0531031678303
653,Anteater Chat,Myrmecocichla aethiops,2650,avibase-E09F7223,Anteater Chat,Myrmecocichla aethiops,28056,Myrmecocichla aethiops,noacha1,"Chats, Old World Flycatchers, and Allies",Passeriformes,https://datazone.birdlife.org/species/factsheet/22710400,1,0,0,0,0,56.6,Grassland,3,1,Carnivore,Invertivore,Terrestrial,2152635.81,,,Least Concern,33,38,7,26,12,6.93421218446787,11.4403689789134
654,Sooty Chat,Myrmecocichla nigra,966,avibase-B55BADC1,Sooty Chat,Myrmecocichla nigra,28055,Myrmecocichla nigra,soocha1,"Chats, Old World Flycatchers, and Allies",Passeriformes,https://datazone.birdlife.org/species/factsheet/22710416,1,0,0,0,0,40.3,Grassland,3,1,Carnivore,Invertivore,Terrestrial,3505287.84,,,Least Concern,5,6,1,4,2,1.0039360443701,1.9200893173165
655,Cliff Chat,Thamnolaea cinnamomeiventris,573,avibase-F8B6EC31,Mocking Cliff Chat,Thamnolaea cinnamomeiventris,28044,Thamnolaea cinnamomeiventris,moccha1,"Chats, Old World Flycatchers, and Allies",Passeriformes,https://datazone.birdlife.org/species/factsheet/22710441,1,0,0,0,0,39.8,Rock,2,1,Herbivore,Frugivore,Insessorial,2978092.64,,,Least Concern,29,32,12,17,15,11.8267881456378,14.2282174095667
656,White-browed Scrub Robin,Cercotrichas leucophrys,588,avibase-B5B6EC7B,White-browed Scrub Robin,Cercotrichas leucophrys,27160,Cercotrichas leucophrys,rbsrob1,"Chats, Old World Flycatchers, and Allies",Passeriformes,https://datazone.birdlife.org/species/factsheet/22709927,1,0,0,0,0,16.5,Shrubland,2,1,Carnivore,Invertivore,Terrestrial,8126492.58,,,Least Concern,100,107,7,93,14,7.22653358334561,13.8004881496507
657,Brown-backed Scrub Robin,Cercotrichas hartlaubi,2556,avibase-15B2DD49,Brown-backed Scrub Robin,Cercotrichas hartlaubi,27159,Cercotrichas hartlaubi,bbsrob1,"Chats, Old World Flycatchers, and Allies",Passeriformes,https://datazone.birdlife.org/species/factsheet/22709918,1,0,0,0,0,19.2,Shrubland,2,1,Carnivore,Invertivore,Terrestrial,612316.42,"This species is prone to misidentification and its maps might be affected by error.",,Least Concern,12,15,6,6,9,5.74511353246796,8.62910117884373
658,Rufous Bush Chat,Cercotrichas galactotes,567,avibase-B68BD0D2,Rufous-tailed Scrub Robin,Cercotrichas galactotes,27149,Cercotrichas galactotes,rutscr1,"Chats, Old World Flycatchers, and Allies",Passeriformes,https://datazone.birdlife.org/species/factsheet/22709936,1,0,0,1,0,20.3,Shrubland,2,3,Omnivore,Invertivore,Generalist,9230677.97,,,Least Concern,44,39,19,25,14,18.9059793423643,13.3656992613229
659,Eastern Bearded Scrub Robin,Cercotrichas quadrivirgata,585,avibase-92908926,Bearded Scrub Robin,Tychaedon quadrivirgata,27141,Tychaedon quadrivirgata,besrob1,"Chats, Old World Flycatchers, and Allies",Passeriformes,https://datazone.birdlife.org/species/factsheet/22709891,1,0,0,0,0,26.1,Shrubland,1,1,Carnivore,Invertivore,Terrestrial,1616296.2,,,Least Concern,13,23,4,9,14,3.94163985490952,13.7700528859921
660,Morning Thrush,Cichladusa arquata,593,avibase-A0A3B03D,Collared Palm Thrush,Cichladusa arquata,27604,Cichladusa arquata,copthr1,"Chats, Old World Flycatchers, and Allies",Passeriformes,https://datazone.birdlife.org/species/factsheet/22709864,1,0,0,0,0,34.2,Shrubland,2,1,Carnivore,Invertivore,Terrestrial,2314814.62,"This map might contains errors",,Least Concern,6,9,2,4,5,2.11976286849483,4.76095741963462
661,Spotted Morning Thrush,Cichladusa guttata,2560,avibase-345658E9,Spotted Palm Thrush,Cichladusa guttata,27606,Cichladusa guttata,spmthr1,"Chats, Old World Flycatchers, and Allies",Passeriformes,https://datazone.birdlife.org/species/factsheet/22709876,1,0,0,0,0,23.1,Shrubland,2,1,Carnivore,Invertivore,Terrestrial,1373382.96,"This map might contains errors",,Least Concern,66,87,8,58,29,8.07630581406974,28.1637732537879
662,White-starred Forest Robin,Pogonocichla stellata,589,avibase-230A0342,White-starred Robin,Pogonocichla stellata,27529,Pogonocichla stellata,whsrob1,"Chats, Old World Flycatchers, and Allies",Passeriformes,https://datazone.birdlife.org/species/factsheet/22709611,1,0,0,0,0,18.6,Forest,1,1,Carnivore,Invertivore,Insessorial,1560903.36,,,Least Concern,26,34,6,20,14,5.8574836321825,13.5733705021159
663,Brown-chested Alethe,Alethe poliocephala,1109,avibase-8B7A6FE9,Brown-chested Alethe,Chamaetylas poliocephala,27559,Chamaetylas poliocephala,brcale1,"Chats, Old World Flycatchers, and Allies",Passeriformes,https://datazone.birdlife.org/species/factsheet/22708992,1,0,0,0,0,32.4,Forest,1,1,Carnivore,Invertivore,Terrestrial,1599692.41,,,Least Concern,12,11,4,8,3,3.91867523186161,2.88450165212689
665,Snowy-headed Robin Chat,Cossypha niveicapilla,2574,avibase-BB05D1FC,Snowy-crowned Robin-Chat,Cossypha niveicapilla,27596,Cossypha niveicapilla,scrcha1,"Chats, Old World Flycatchers, and Allies",Passeriformes,https://datazone.birdlife.org/species/factsheet/22709847,1,0,0,0,0,36.7,Woodland,2,1,Carnivore,Invertivore,Generalist,5176063.97,,,Least Concern,8,9,3,5,4,2.87793634182913,3.84757733496748
