Ref,SEQ,Common name,Scientific name,z1,z2,z3,z4,z5,z6,QDGCs,,,,, 
738,879,Greater Blue-eared Starling,Lamprotornis chalybaeus,26.4,15.1,24.5,16,8.5,9.4,106,,,,,
737,,Cape Glossy Starling,Lamprotornis nitens,11.2,10.2,19.3,19.6,15.8,23.9,1121,,,,,
736,896,Violet-backed Starling,Cinnyricinclus leucogaster,8.2,14.4,23.2,21.9,20.5,11.9,453,,,,,
735,899,Wattled Starling,Creatophora cinerea,14.9,18.7,26.1,18.4,13.3,8.7,1082,,,,,
734,,Common Myna,Acridotheres tristis,8,2.4,3.9,9.1,19.6,57,663,,,,,
733,,Common Starling,Sturnus vulgaris,13.6,12.4,16.4,17.4,16,24.3,581,,,,,
731,835,Brubru,Nilaus afer,9.1,10.2,22.5,21.2,18.7,18.2,636,,,,,
730,,Southern White-crowned Shrike,Eurocephalus anguitimens,17.4,21.6,26.3,19,11.6,4.2,190,,,,,
728,872,Retz's Helmet-Shrike,Prionops retzii,16.9,15.7,20.5,22.9,13.3,10.8,83,,,,,
727,870,White-crested Helmet-Shrike,Prionops plumatus,31,20.1,25.1,14.1,8.1,1.6,319,,,,,
725,633,Eastern Nicator,Nicator gularis,3.6,8.4,8.4,18.1,26.5,34.9,83,,,,,
724,869,Magpie Shrike,Corvinella melanoleuca,16.1,14.2,23.8,17.6,14.9,13.4,261,,,,,
723,854,Grey-headed Bush-Shrike,Malaconotus blanchoti,11.8,11.8,20.8,19.2,18.3,18.1,442,,,,,
722,,Bokmakierie,Telophorus zeylonus,16,11.7,17.8,20.4,15.5,18.6,1202,,,,,
721,855,Gorgeous Bush-Shrike,Telophorus quadricolor,14.1,14.1,20.1,16.9,15.2,19.6,184,,,,,
719,852,Orange-breasted Bush-Shrike,Telophorus sulfureopectus,7.7,7.9,16,20.5,18.3,29.6,443,,,,,
717,,Olive Bush-Shrike,Telophorus olivaceus,6.2,10.3,17.6,19.4,18.8,27.9,341,,,,,
715,842,Black-crowned Tchagra,Tchagra senegalus,15.2,14.6,20.8,15.6,15.6,18.3,520,,,,,
714,840,Brown-crowned Tchagra,Tchagra australis,9.9,9.9,20.2,21.8,17.2,21.1,588,,,,,
713,,Southern Tchagra,Tchagra tchagra,12.9,12,24.6,19.6,15.8,15.2,342,,,,,
