Ref,SEQ,Common name,Scientific name,z1,z2,z3,z4,z5,z6,QDGCs,,,,, 
109,88,White-headed Vulture,Trigonoceps occipitalis,37.3,16.9,30.1,8.4,7.2,0,83,,,,,
108,87,Lappet-faced Vulture,Torgos tracheliotus,24.8,18.8,22.8,16.8,15.4,1.5,202,,,,,
107,90,White-backed Vulture,Gyps africanus,17.1,13.9,25.9,18.5,14.7,9.9,374,,,,,
106,,Cape Vulture,Gyps coprotheres,21.3,22,29.9,13.6,9.2,4.2,546,,,,,
105,85,Secretarybird,Sagittarius serpentarius,26.9,19.9,27.2,14.3,9,2.7,1088,,,,,
104,84,White-backed Duck,Thalassornis leuconotus,11.9,18.7,29.6,18.3,11.5,9.9,486,,,,,
103,83,Maccoa Duck,Oxyura maccoa,16.1,20.8,25.5,16.1,13,8.5,447,,,,,
102,79,Southern Pochard,Netta erythrophthalma,14.9,19.1,29.5,17,13.1,6.4,739,,,,,
101,61,Fulvous Duck,Dendrocygna bicolor,10.4,20.1,28,17.9,16.8,6.7,268,,,,,
100,62,White-faced Duck,Dendrocygna viduata,12.7,12.8,20.4,17,16.6,20.6,899,,,,,
99,77,Hottentot Teal,Anas hottentota,16.9,13.7,29.1,15.7,12.6,12,350,,,,,
98,69,Cape Teal,Anas capensis,11.4,11.9,23.7,20.4,15.4,17.3,683,,,,,
97,76,Red-billed Teal,Anas erythrorhyncha,11.8,15.7,21.5,19.2,14.6,17.1,1108,,,,,
96,74,Yellow-billed Duck,Anas undulata,19,15.1,20.6,16.8,12.5,15.9,1229,,,,,
95,68,African Black Duck,Anas sparsa,18.5,16.9,27.9,17.9,11.5,7.3,1043,,,,,
94,,Cape Shoveler,Anas smithii,12.5,13,18.8,21.8,15.8,18.1,823,,,,,
92,67,African Pygmy-Goose,Nettapus auritus,29,23.7,25,6.6,7.9,7.9,76,,,,,
91,66,Comb Duck,Sarkidiornis melanotos,15.3,20.8,34,17.5,8,4.5,400,,,,,
90,,South African Shelduck,Tadorna cana,12.1,13.3,19.9,19.2,17.1,18.5,995,,,,,
89,64,Egyptian Goose,Alopochen aegyptiacus,10.4,10.9,15.8,20.8,17.1,25,1369,,,,,
88,65,Spur-winged Goose,Plectropterus gambensis,15.7,12.7,20.6,17.9,15.3,17.9,1193,,,,,
87,60,Lesser Flamingo,Phoenicopterus minor,13.3,19.8,30.4,20.1,9.1,7.4,339,,,,,
86,59,Greater Flamingo,Phoenicopterus ruber,12,16.3,24.3,19.3,16.1,12.1,535,,,,,
85,57,African Spoonbill,Platalea alba,23,21.1,24.9,15.2,10,5.8,1126,,,,,
84,54,Hadeda Ibis,Bostrychia hagedash,11.5,8.9,15.1,19.4,15.4,29.6,1353,,,,,
83,56,Glossy Ibis,Plegadis falcinellus,9.1,15.9,24,20.8,16.3,13.8,667,,,,,
82,,Southern Bald Ibis,Geronticus calvus,14.1,11,24.5,18.3,17.6,14.5,290,,,,,
81,53,African Sacred Ibis,Threskiornis aethiopicus,21.7,17.4,22.9,18,7.9,12.1,1195,,,,,
80,45,White Stork,Ciconia ciconia,20.4,28.1,30.6,13.1,5.8,2,1046,,,,,
79,46,Black Stork,Ciconia nigra,18.5,26.5,35.9,12.1,6.6,0.4,821,,,,,
78,47,Abdim's Stork,Ciconia abdimii,18.6,29.5,35,9.7,5.3,1.9,414,,,,,
77,48,Woolly-necked Stork,Ciconia episcopus,11.9,12.7,20.1,16.4,15.7,23.1,134,,,,,
76,52,Yellow-billed Stork,Mycteria ibis,12.8,24.4,35.5,13.2,8.8,5.3,431,,,,,
75,49,Saddle-billed Stork,Ephippiorhynchus senegalensis,28.1,14.6,34.4,14.6,5.2,3.1,96,,,,,
74,51,African Openbill,Anastomus lamelligerus,11.9,6.3,10.1,28.3,28.3,15.1,159,,,,,
73,50,Marabou Stork,Leptoptilos crumeniferus,20,15.1,25.5,18.2,13.3,7.9,165,,,,,
72,44,Hamerkop Hamerkop,Scopus umbretta,37.6,20.8,23.5,10.5,5.4,2.2,1266,,,,,
72,44,Hamerkop,Scopus umbretta,37.6,20.8,23.5,10.5,5.4,2.2,1266,,,,,
70,28,White-backed Night-Heron,Gorsachius leuconotus,14.1,18.8,40.6,15.6,9.4,1.6,64,,,,,
69,29,Black-crowned Night-Heron,Nycticorax nycticorax,15.5,21.2,31.4,16.1,9.9,5.8,684,,,,,
67,27,Little Bittern,Ixobrychus minutus,8.5,16.7,34.5,19.5,11.5,9.3,365,,,,,
66,26,Dwarf Bittern,Ixobrychus sturmii,4.7,20.8,35.8,25.5,12.3,0.9,106,,,,,
64,37,Black Heron,Egretta ardesiaca,6.2,17.5,35.8,20.8,13.1,6.6,274,,,,,
63,34,Green-backed Heron,Butorides striata,16.5,14,21.1,16,21.3,11.2,394,,,,,
62,31,Squacco Heron,Ardeola ralloides,10.6,16.5,30.7,21.7,13.1,7.3,479,,,,,
61,30,Cattle Egret,Bubulcus ibis,36.6,19.9,18.5,13.5,6.4,5.1,1287,,,,,
60,38,Yellow-billed Egret,Egretta intermedia,21.4,21.9,26.4,17,9.1,4.1,734,,,,,
59,35,Little Egret,Egretta garzetta,16.7,16.8,24,18.7,14.2,9.6,966,,,,,
58,39,Great Egret,Egretta alba,22.2,18.8,28.2,18.8,7.8,4.2,744,,,,,
57,41,Purple Heron,Ardea purpurea,15.2,17.9,27.1,17,13.3,9.5,676,,,,,
56,42,Goliath Heron,Ardea goliath,13.3,12.3,25.6,18.3,15.3,15.3,563,,,,,
55,43,Black-headed Heron,Ardea melanocephala,26.7,16.3,23.5,16.4,8.9,8.2,1334,,,,,
54,40,Grey Heron,Ardea cinerea,28.5,17.4,20.5,15.8,9.7,8.2,1301,,,,,
52,23,African Darter,Anhinga rufa,20.9,17.4,20.5,17.7,11.8,11.7,1034,,,,,
50,22,Reed Cormorant,Phalacrocorax africanus,17.9,16.4,18,18.5,12.8,16.5,1228,,,,,
48,,Cape Cormorant,Phalacrocorax capensis,39,11.8,20.6,8.1,8.8,11.8,136,,,,,
47,21,White-breasted Cormorant,Phalacrocorax carbo,21.1,15.2,22.2,19.1,11.8,10.5,1140,,,,,
44,,Cape Gannet,Morus capensis,29,14.5,14.5,10.5,12.1,19.4,124,,,,,
42,16,Great White Pelican,Pelecanus onocrotalus,23.5,18.8,30.2,10.7,8.1,8.7,149,,,,,
41,17,Pink-backed Pelican,Pelecanus rufescens,21.2,29.3,24.2,6.1,9.1,10.1,99,,,,,
29,,Sooty Shearwater,Puffinus griseus,22.8,22.8,29.8,12.3,7,5.3,57,,,,,
6,2,Little Grebe,Tachybaptus ruficollis,19,13.5,18.7,20.4,13.3,15.1,1260,,,,,
5,3,Black-necked Grebe,Podiceps nigricollis,12.2,16.7,29.5,17.3,15.8,8.4,335,,,,,
4,4,Great Crested Grebe,Podiceps cristatus,17,13.3,24.5,17.5,16,11.7,376,,,,,
2,,African Penguin,Spheniscus demersus,31.3,31.3,28.8,1.3,1.3,6.3,80,,,,,
1,1,Common Ostrich,Struthio camelus,16,11.6,17.9,16.3,17,21.3,1034,,,,,
